"Id","BldgType","MasVnrType_clean","MasVnrArea_clean","ExterQual","CentralAir","1stFlrSF","GrLivArea","KitchenQual_clean","GarageArea_clean","PavedDrive","WoodDeckSF","OpenPorchSF","MSSubClass_agrup","MSZoning_agrup","Condition1","HouseStyle","antiguedad","reforma"
1495,"1Fam","BrkFace",180,"Gd","Y",1402,2225,"Gd",713,"Y",198,30,"60","RL","Norm","2Story",28,27
1496,"TwnhsE","None",0,"Gd","Y",1488,1488,"Gd",506,"Y",168,50,"120","FV","Norm","1Story",16,15
1497,"TwnhsE","None",0,"Gd","Y",840,1680,"Gd",588,"Y",0,111,"160","FV","Norm","2Story",16,16
1498,"TwnhsE","BrkFace",120,"Gd","Y",600,1200,"Gd",480,"Y",0,172,"160","FV","Norm","2Story",16,16
1499,"Twnhs","None",0,"Gd","Y",600,1200,"Gd",480,"Y",0,172,"160","FV","Norm","2Story",16,15
1500,"Twnhs","BrkFace",216,"Gd","Y",600,1236,"Gd",480,"Y",0,166,"160","FV","Norm","2Story",15,15
1501,"TwnhsE","BrkFace",1159,"Gd","Y",756,1512,"Gd",440,"Y",0,32,"160","FV","Norm","2Story",20,20
1502,"TwnhsE","None",0,"Gd","Y",530,1080,"Gd",496,"Y",0,50,"160","FV","Norm","2Story",17,17
1503,"1Fam","None",0,"Gd","Y",1418,1418,"Gd",852,"Y",160,192,"20","FV","Norm","1Story",10,10
1504,"1Fam","None",0,"Gd","Y",975,1848,"Gd",592,"Y",280,184,"60","FV","Norm","2Story",20,20
1505,"1Fam","None",0,"Gd","Y",1492,1492,"Gd",596,"Y",277,137,"20","FV","Norm","1Story",18,18
1506,"1Fam","BrkFace",120,"TA","Y",1829,1829,"TA",535,"Y",0,76,"20","RL","Norm","1Story",53,53
1507,"1Fam","None",0,"TA","Y",1280,2495,"Gd",660,"Y",224,32,"60","RL","Norm","2Story",27,27
1508,"1Fam","None",0,"TA","Y",1287,1891,"TA",678,"Y",0,69,"50","RL","Norm","1.5Fin",42,42
1509,"1Fam","None",0,"TA","Y",930,1645,"TA",441,"Y",0,78,"60","RL","Norm","2Story",49,49
1510,"1Fam","BrkFace",172,"TA","Y",1232,1232,"TA",490,"Y",0,224,"20","RL","Norm","1Story",54,54
1511,"1Fam","None",0,"TA","Y",1209,1209,"TA",504,"Y",0,0,"20","RL","Norm","1Story",54,54
1512,"1Fam","BrkFace",268,"TA","Y",1510,1510,"Gd",517,"Y",0,40,"20","RL","Norm","1Story",53,53
1513,"1Fam","None",0,"TA","Y",1131,1775,"TA",480,"Y",0,172,"80","RL","Norm","SLvl",56,56
1514,"Duplex","BrkFace",144,"TA","Y",1728,1728,"TA",0,"Y",0,0,"90","RL","Norm","1Story",58,19
1515,"1Fam","BrkFace",265,"Gd","Y",1929,2461,"TA",400,"Y",0,0,"50","RL","Norm","1.5Fin",68,18
1516,"1Fam","Stone",340,"TA","Y",1019,1556,"TA",470,"Y",0,0,"50","RL","Artery","1.5Fin",71,70
1517,"1Fam","BrkFace",216,"TA","Y",1128,1128,"Gd",315,"Y",238,0,"OTHERS","RL","Norm","SFoyer",54,12
1518,"Duplex","None",0,"TA","Y",1604,1604,"TA",576,"Y",42,0,"90","RL","Feedr","1Story",62,62
1519,"1Fam","BrkFace",506,"Gd","Y",1480,1480,"Gd",620,"Y",252,73,"20","RL","Norm","1Story",17,11
1520,"1Fam","BrkFace",150,"TA","Y",1143,1143,"TA",308,"Y",0,0,"20","RL","Norm","1Story",61,61
1521,"1Fam","BrkFace",91,"TA","Y",1206,1206,"TA",312,"Y",0,21,"20","RL","Norm","1Story",61,61
1522,"1Fam","Stone",432,"TA","Y",1580,1580,"TA",440,"Y",0,28,"20","RL","Norm","1Story",61,61
1523,"1Fam","None",0,"TA","Y",832,1337,"TA",263,"Y",0,0,"50","RL","Norm","1.5Fin",64,64
1524,"1Fam","None",0,"TA","Y",1064,1064,"Fa",318,"Y",0,0,"20","RL","Norm","1Story",68,68
1525,"1Fam","None",0,"TA","Y",972,972,"TA",305,"Y",0,0,"20","RL","Norm","1Story",65,65
1526,"2fmCon","None",0,"TA","Y",988,988,"TA",264,"Y",0,0,"190","RL","Norm","1Story",62,62
1527,"1Fam","None",0,"TA","Y",985,985,"TA",676,"N",0,0,"30","RL","Norm","1Story",100,26
1528,"1Fam","None",0,"TA","Y",816,1224,"TA",280,"Y",414,0,"50","RL","Artery","1.5Fin",72,16
1529,"1Fam","None",0,"TA","Y",1175,1175,"TA",484,"Y",0,0,"20","RL","Norm","1Story",60,60
1530,"1Fam","BrkFace",218,"TA","Y",1395,1395,"TA",440,"Y",657,0,"20","RL","Norm","1Story",57,36
1531,"1Fam","BrkFace",771,"TA","Y",1157,1844,"TA",240,"Y",84,0,"50","RM","Norm","1.5Fin",120,66
1532,"1Fam","None",0,"TA","Y",936,936,"TA",0,"P",51,0,"30","RM","Artery","1Story",100,70
1533,"1Fam","None",0,"TA","Y",1347,1347,"Gd",551,"Y",0,0,"20","RM","Norm","1Story",63,63
1534,"1Fam","None",0,"TA","Y",827,1251,"Fa",240,"N",0,0,"OTHERS","RM","Norm","1.5Fin",82,20
1535,"1Fam","None",0,"TA","Y",1027,1633,"Gd",240,"Y",0,100,"50","RM","Artery","1.5Fin",72,11
1536,"1Fam","None",0,"TA","Y",1060,1245,"TA",315,"Y",0,0,"50","RM","Artery","1.5Fin",100,58
1537,"1Fam","None",0,"TA","N",832,832,"TA",780,"N",0,0,"30","RM","Norm","1Story",97,50
1538,"1Fam","None",0,"Gd","N",930,1566,"Gd",288,"Y",54,228,"70","RM","Norm","2Story",120,17
1539,"1Fam","None",0,"Gd","Y",1157,2268,"Gd",624,"N",0,108,"70","RM","Norm","2Story",130,18
1540,"2fmCon","None",0,"TA","N",1128,2256,"Fa",0,"N",0,18,"190","RM","Norm","2Story",110,70
1541,"1Fam","None",0,"TA","Y",868,1470,"TA",624,"Y",0,0,"70","RM","Norm","2Story",98,26
1542,"1Fam","None",0,"TA","Y",1030,1612,"TA",363,"Y",0,0,"50","RM","Feedr","1.5Fin",70,23
1543,"1Fam","None",0,"TA","N",1160,2068,"Gd",315,"Y",0,0,"OTHERS","RL","Norm","2.5Unf",98,15
1544,"1Fam","None",0,"TA","N",765,765,"Gd",200,"P",135,0,"30","RM","Feedr","1Story",95,70
1545,"1Fam","None",0,"TA","Y",608,1132,"TA",240,"Y",0,0,"50","RM","Norm","1.5Fin",81,70
1546,"1Fam","None",0,"TA","Y",848,1196,"TA",576,"Y",0,0,"50","RM","Norm","1.5Fin",80,70
1547,"1Fam","Stone",300,"TA","Y",955,1453,"Gd",240,"Y",0,0,"50","RM","Feedr","1.5Fin",78,70
1548,"1Fam","None",0,"TA","Y",780,1416,"TA",312,"P",221,0,"50","RM","Norm","1.5Fin",72,70
1549,"1Fam","None",0,"TA","Y",548,1040,"TA",624,"P",306,0,"50","RM","Norm","1.5Fin",84,40
1550,"1Fam","None",0,"TA","Y",928,1536,"TA",480,"Y",0,10,"50","RM","Norm","1.5Fin",90,70
1551,"1Fam","None",0,"TA","Y",1068,1068,"TA",288,"Y",0,0,"30","RM","Artery","1Story",97,70
1552,"1Fam","None",0,"TA","Y",888,1962,"TA",572,"Y",160,0,"50","RM","Norm","1.5Fin",105,70
1553,"1Fam","None",0,"Gd","Y",780,1560,"Gd",0,"N",344,0,"70","RM","Norm","2Story",108,11
1554,"1Fam","None",0,"TA","Y",662,1324,"TA",180,"Y",0,0,"70","RM","Norm","2Story",100,27
1555,"1Fam","BrkFace",90,"TA","Y",1675,1675,"TA",365,"Y",0,132,"20","RL","Feedr","1Story",61,61
1556,"1Fam","None",0,"TA","N",725,1224,"TA",180,"N",0,0,"50","RL","Norm","1.5Fin",103,70
1557,"2fmCon","None",0,"Fa","N",1212,1392,"TA",0,"N",0,0,"190","RL","Norm","1.5Fin",105,70
1558,"1Fam","None",0,"TA","N",600,919,"TA",231,"Y",0,0,"50","RL","Norm","1.5Fin",80,70
1559,"1Fam","None",0,"TA","N",942,1884,"TA",0,"N",0,0,"70","OTHER","Norm","2Story",113,70
1560,"2fmCon","None",0,"TA","Y",936,1680,"TA",450,"P",56,144,"190","OTHER","Artery","1.5Fin",110,70
1561,"Duplex","BrkFace",72,"Fa","N",1832,1832,"TA",0,"Y",0,58,"90","RL","Norm","1Story",53,53
1562,"1Fam","BrkFace",47,"TA","Y",892,892,"Gd",416,"Y",0,0,"20","RL","Norm","1Story",54,12
1563,"1Fam","None",0,"TA","Y",864,864,"TA",280,"Y",226,0,"20","RL","Norm","1Story",52,52
1564,"Duplex","None",0,"TA","Y",1373,1373,"TA",591,"Y",0,0,"90","RL","Norm","SFoyer",42,42
1565,"1Fam","None",0,"TA","Y",720,1440,"TA",480,"Y",192,38,"60","RL","Norm","2Story",52,52
1566,"1Fam","None",0,"Gd","Y",1483,1483,"TA",690,"Y",496,0,"20","RL","Norm","1Story",43,19
1567,"1Fam","None",0,"TA","N",756,756,"TA",440,"N",80,0,"30","RL","Feedr","1Story",93,70
1568,"1Fam","BrkFace",288,"TA","Y",1117,1981,"Gd",522,"Y",336,104,"60","RL","Norm","2Story",42,28
1569,"1Fam","None",0,"TA","Y",1052,1610,"Fa",480,"Y",0,0,"50","RL","Norm","1.5Fin",82,30
1570,"1Fam","None",0,"TA","Y",1074,1074,"Gd",467,"Y",0,52,"20","RL","Norm","1Story",70,33
1571,"1Fam","None",0,"TA","Y",1169,1531,"TA",209,"Y",0,0,"50","RL","Norm","1.5Fin",73,41
1572,"1Fam","None",0,"TA","Y",1172,1172,"TA",366,"Y",240,0,"20","RL","Norm","1Story",66,22
1573,"1Fam","Stone",96,"Gd","Y",1508,1508,"Gd",572,"Y",0,0,"20","RL","Norm","1Story",11,10
1574,"1Fam","None",0,"TA","Y",1298,1298,"TA",504,"N",0,144,"20","RL","Norm","1Story",56,56
1575,"1Fam","BrkFace",177,"Gd","Y",1433,1433,"Gd",528,"Y",0,278,"20","RL","Norm","1Story",33,33
1576,"1Fam","BrkFace",85,"Gd","Y",964,1802,"Gd",1017,"Y",450,92,"60","RL","Norm","2Story",27,27
1577,"1Fam","Stone",80,"Gd","Y",1222,1222,"Gd",615,"Y",0,54,"20","RL","Norm","1Story",10,10
1578,"1Fam","None",0,"TA","Y",831,1445,"TA",484,"N",0,59,"50","RL","Norm","1.5Fin",120,27
1579,"1Fam","None",0,"TA","Y",965,965,"TA",580,"Y",71,0,"OTHERS","RL","Norm","SFoyer",24,24
1580,"1Fam","None",0,"TA","Y",892,1692,"TA",513,"Y",0,39,"60","RL","Norm","2Story",23,22
1581,"1Fam","None",0,"Gd","Y",1026,1026,"TA",308,"Y",316,85,"20","RL","Norm","1Story",43,16
1582,"1Fam","None",0,"TA","Y",876,876,"TA",484,"Y",0,0,"20","RL","Norm","1Story",48,48
1583,"1Fam","BrkFace",320,"Gd","Y",1978,1978,"Gd",850,"Y",188,25,"20","RL","Norm","1Story",17,17
1584,"1Fam","None",0,"Gd","Y",1044,2098,"Gd",621,"Y",331,38,"60","RL","Norm","2Story",23,23
1585,"TwnhsE","BrkFace",170,"Gd","Y",848,848,"Gd",420,"Y",140,0,"120","RM","Norm","1Story",17,17
1586,"1Fam","None",0,"TA","N",640,640,"TA",240,"N",0,0,"30","RL","Feedr","1Story",75,13
1587,"1Fam","None",0,"TA","Y",992,992,"TA",319,"Y",60,0,"20","RL","Norm","1Story",66,66
1588,"1Fam","None",0,"TA","Y",1196,1196,"TA",336,"Y",257,0,"20","RL","Norm","1Story",52,52
1589,"1Fam","None",0,"TA","N",792,1120,"Fa",480,"P",0,0,"50","RL","Norm","1.5Fin",72,70
1590,"1Fam","None",0,"TA","Y",1096,1096,"TA",352,"Y",0,0,"80","RL","Norm","SLvl",45,45
1591,"1Fam","None",0,"TA","Y",960,960,"TA",0,"Y",0,0,"20","RL","Norm","1Story",62,62
1592,"1Fam","BrkFace",203,"TA","N",1296,1296,"Fa",260,"Y",0,0,"30","RL","Artery","1Story",96,21
1593,"1Fam","None",0,"TA","Y",856,856,"TA",399,"Y",0,0,"30","RL","Norm","1Story",81,70
1594,"Duplex","None",0,"TA","Y",862,2650,"TA",0,"Y",0,0,"90","OTHER","Norm","2Story",53,53
1595,"1Fam","None",0,"TA","Y",894,1666,"TA",0,"N",0,156,"50","RL","Feedr","1.5Fin",89,70
1596,"1Fam","BrkFace",371,"Gd","Y",1225,2133,"TA",312,"Y",0,0,"50","RL","Norm","1.5Fin",79,35
1597,"Duplex","BrkFace",430,"TA","Y",1102,2177,"TA",484,"Y",0,0,"90","RL","Norm","2Story",70,29
1598,"1Fam","BrkFace",44,"TA","Y",896,1652,"Gd",473,"Y",0,0,"80","RL","Norm","SLvl",26,13
1599,"TwnhsE","None",0,"Gd","Y",1034,1034,"Gd",598,"Y",141,36,"120","RM","Norm","1Story",31,31
1600,"TwnhsE","None",0,"Gd","Y",1191,1191,"Gd",531,"Y",112,81,"120","RM","Norm","1Story",31,31
1601,"1Fam","None",0,"TA","Y",540,540,"TA",200,"N",0,0,"30","RM","Norm","1Story",79,70
1602,"1Fam","None",0,"TA","Y",727,1107,"TA",625,"Y",0,56,"50","RM","Norm","1.5Fin",99,45
1603,"1Fam","None",0,"Fa","Y",952,952,"TA",330,"N",0,0,"30","OTHER","Norm","1Story",124,70
1604,"TwnhsE","Stone",186,"Gd","Y",1646,1646,"Gd",525,"Y",128,53,"120","RM","Artery","1Story",16,15
1605,"1Fam","None",0,"Gd","Y",1036,1916,"Gd",741,"Y",0,70,"60","RL","Norm","2Story",22,21
1606,"1Fam","None",0,"TA","Y",1285,1285,"Gd",473,"Y",375,26,"80","RL","Norm","SLvl",43,43
1607,"Duplex","None",0,"TA","Y",2048,2048,"TA",776,"Y",0,0,"90","RL","Norm","1Story",44,44
1608,"1Fam","Stone",60,"Gd","Y",1346,1346,"Gd",660,"Y",100,48,"20","RL","Norm","1Story",12,12
1609,"1Fam","None",0,"Gd","Y",1214,1214,"Gd",520,"Y",0,25,"20","RL","Norm","1Story",11,10
1610,"1Fam","None",0,"TA","Y",744,1444,"TA",400,"Y",100,0,"60","RL","Norm","2Story",14,13
1611,"1Fam","None",0,"TA","Y",1264,1264,"TA",528,"Y",0,0,"20","RL","Norm","1Story",55,43
1612,"1Fam","None",0,"TA","Y",1430,1430,"Gd",624,"Y",0,0,"20","RL","Norm","1Story",16,15
1613,"1Fam","None",0,"TA","Y",1344,1344,"TA",686,"Y",328,0,"20","RL","Norm","1Story",21,21
1614,"Twnhs","None",0,"TA","Y",945,945,"TA",253,"Y",174,0,"120","RM","Norm","1Story",47,47
1615,"Twnhs","None",0,"TA","Y",546,1092,"TA",0,"Y",200,26,"160","RM","Norm","2Story",50,50
1616,"TwnhsE","None",0,"TA","Y",546,1092,"TA",0,"Y",0,0,"160","RM","Norm","2Story",50,50
1617,"TwnhsE","None",0,"TA","Y",546,1092,"TA",286,"Y",0,0,"160","RM","Norm","2Story",48,48
1618,"1Fam","None",0,"TA","Y",874,874,"TA",352,"Y",0,0,"20","RL","Norm","1Story",49,16
1619,"1Fam","None",0,"TA","Y",833,833,"Gd",495,"Y",431,0,"20","RL","Norm","1Story",36,36
1620,"Duplex","None",0,"TA","Y",1216,2432,"TA",616,"Y",200,0,"90","RL","Norm","2Story",35,34
1621,"1Fam","None",0,"TA","Y",624,1274,"TA",576,"Y",22,0,"60","RL","Norm","2Story",29,29
1622,"1Fam","None",0,"TA","Y",864,1479,"TA",275,"Y",287,0,"50","RL","Norm","1.5Fin",51,51
1623,"1Fam","None",0,"Gd","Y",1803,1803,"Gd",482,"Y",129,64,"20","RL","Norm","1Story",26,25
1624,"1Fam","None",0,"Gd","Y",1152,1797,"Gd",616,"Y",162,312,"60","RL","Norm","2Story",27,26
1625,"1Fam","None",0,"TA","Y",882,882,"TA",502,"Y",0,0,"20","RL","Norm","1Story",64,64
1626,"1Fam","BrkFace",440,"TA","Y",1434,1434,"TA",528,"Y",80,21,"20","RL","Norm","1Story",46,46
1627,"1Fam","None",0,"TA","Y",945,1608,"TA",470,"Y",252,30,"60","RL","Norm","2Story",23,23
1628,"1Fam","BrkFace",188,"Gd","Y",1008,2283,"Gd",632,"Y",120,46,"60","RL","Norm","2Story",17,17
1629,"1Fam","BrkFace",32,"TA","Y",958,1628,"TA",390,"Y",48,72,"80","RL","Norm","SLvl",24,23
1630,"TwnhsE","None",0,"Gd","Y",2522,2522,"Gd",564,"Y",182,57,"120","RL","Norm","1Story",16,15
1631,"1Fam","None",0,"TA","Y",1478,1478,"TA",495,"Y",168,43,"120","RL","Norm","1Story",22,22
1632,"TwnhsE","None",0,"Gd","Y",1734,1734,"Gd",528,"Y",52,50,"120","RL","Norm","1Story",25,24
1633,"1Fam","None",0,"Gd","Y",751,1382,"TA",396,"Y",256,0,"80","RL","Norm","SLvl",22,22
1634,"1Fam","None",0,"Gd","Y",952,1636,"TA",440,"Y",0,84,"60","RL","Norm","2Story",22,21
1635,"1Fam","None",0,"TA","Y",707,1516,"Gd",409,"Y",0,46,"60","RL","Norm","2Story",26,25
1636,"1Fam","BrkFace",45,"TA","Y",1190,1190,"Gd",430,"Y",0,21,"20","RL","Norm","1Story",27,27
1637,"1Fam","BrkFace",157,"TA","Y",946,1934,"TA",567,"P",0,176,"60","RL","Norm","2Story",43,43
1638,"1Fam","BrkFace",256,"TA","Y",1154,2050,"Gd",529,"Y",192,192,"60","RL","RRNn","2Story",42,42
1639,"1Fam","BrkFace",101,"TA","Y",1671,1671,"TA",484,"Y",252,55,"20","RL","Norm","1Story",42,34
1640,"1Fam","BrkFace",229,"TA","Y",1539,2673,"Gd",441,"Y",178,84,"60","RL","Norm","2Story",40,29
1641,"1Fam","BrkFace",144,"TA","Y",1707,1707,"TA",479,"Y",0,0,"20","RL","Norm","1Story",42,22
1642,"1Fam","None",0,"Gd","Y",1016,1884,"Ex",581,"Y",0,35,"60","FV","Norm","2Story",17,17
1643,"1Fam","None",0,"Gd","Y",1058,1874,"Gd",588,"Y",0,134,"60","FV","RRNn","2Story",20,19
1644,"1Fam","None",0,"Gd","Y",972,1811,"Gd",565,"Y",225,48,"60","FV","Norm","2Story",18,18
1645,"1Fam","BrkFace",161,"TA","Y",1621,1621,"TA",478,"Y",0,0,"20","RL","PosN","1Story",45,45
1646,"1Fam","BrkFace",196,"TA","Y",1116,1116,"TA",528,"Y",0,0,"20","RL","Norm","1Story",46,46
1647,"1Fam","None",0,"TA","Y",1193,1193,"TA",506,"Y",40,0,"20","RL","Norm","1Story",45,45
1648,"1Fam","None",0,"TA","Y",1180,1180,"TA",477,"Y",0,45,"20","RL","Norm","1Story",50,50
1649,"1Fam","BrkFace",178,"TA","Y",1050,1050,"TA",336,"Y",0,0,"20","RL","Norm","1Story",49,49
1650,"1Fam","None",0,"TA","Y",864,864,"TA",576,"Y",210,0,"20","RL","Norm","1Story",50,50
1651,"1Fam","None",0,"TA","Y",864,864,"TA",576,"Y",200,0,"20","RL","Norm","1Story",49,14
1652,"Twnhs","BrkFace",504,"TA","Y",483,987,"TA",264,"Y",0,0,"160","RM","Norm","2Story",47,47
1653,"Twnhs","BrkFace",425,"TA","Y",483,987,"TA",288,"Y",0,0,"160","RM","Norm","2Story",48,48
1654,"TwnhsE","None",0,"TA","Y",804,1548,"TA",440,"Y",108,0,"160","RL","Norm","2Story",44,44
1655,"Twnhs","None",0,"TA","Y",1055,1055,"TA",440,"Y",0,27,"120","RL","Norm","1Story",45,45
1656,"Twnhs","None",0,"TA","Y",855,1456,"TA",440,"Y",0,28,"160","RL","Norm","2Story",43,43
1657,"TwnhsE","None",0,"TA","Y",804,1548,"TA",440,"Y",108,0,"160","RL","Norm","2Story",42,42
1658,"TwnhsE","None",0,"Gd","Y",855,1456,"TA",440,"Y",147,0,"160","RL","Norm","2Story",42,42
1659,"TwnhsE","None",0,"TA","Y",836,836,"TA",345,"Y",150,20,"120","RL","Norm","1Story",44,44
1660,"1Fam","BrkFace",165,"Gd","Y",1120,1120,"TA",656,"Y",0,162,"20","RL","Norm","1Story",54,16
1661,"1Fam","Stone",726,"Ex","Y",1794,2772,"Ex",754,"Y",135,64,"60","RL","PosN","2Story",13,13
1662,"1Fam","None",0,"Gd","Y",1365,2690,"Ex",864,"Y",0,197,"60","RL","Norm","2Story",11,11
1663,"1Fam","Stone",450,"Ex","Y",2020,2020,"Ex",896,"Y",192,98,"20","RL","Norm","1Story",12,12
1664,"1Fam","Stone",472,"Ex","Y",2674,2674,"Ex",762,"Y",360,50,"20","RL","PosA","1Story",13,13
1665,"1Fam","Stone",302,"Ex","Y",1736,1736,"Ex",834,"Y",319,90,"20","RL","Norm","1Story",12,12
1666,"1Fam","BrkFace",238,"Gd","Y",1782,1782,"Gd",932,"Y",99,82,"20","RL","Norm","1Story",16,15
1667,"1Fam","Stone",20,"Gd","Y",1508,2520,"Ex",640,"Y",192,273,"60","RL","Norm","2Story",13,13
1668,"1Fam","Stone",284,"Ex","Y",1743,1743,"Ex",927,"Y",168,45,"20","RL","Norm","1Story",12,12
1669,"1Fam","Stone",122,"Gd","Y",1531,1531,"Ex",700,"Y",184,52,"20","RL","Norm","1Story",14,14
1670,"1Fam","None",0,"Ex","Y",1808,1808,"Ex",850,"Y",200,26,"20","RL","Norm","1Story",12,12
1671,"1Fam","BrkFace",418,"Gd","Y",1760,1760,"Gd",583,"Y",165,190,"20","RL","Norm","1Story",17,16
1672,"1Fam","BrkFace",724,"Gd","Y",2452,2452,"Ex",886,"Y",0,116,"20","RL","Norm","1Story",17,17
1673,"1Fam","Stone",186,"Gd","Y",1105,2400,"Gd",730,"Y",114,40,"60","RL","Norm","2Story",17,16
1674,"1Fam","Stone",383,"Gd","Y",1606,1606,"Gd",871,"Y",230,60,"20","RL","Norm","1Story",14,14
1675,"TwnhsE","Stone",240,"Gd","Y",1358,1358,"Gd",484,"Y",192,36,"120","RL","Norm","1Story",15,15
1676,"Twnhs","Stone",135,"Gd","Y",1306,1306,"Gd",624,"Y",170,63,"120","RL","Norm","1Story",15,15
1677,"TwnhsE","Stone",176,"Gd","Y",1358,1358,"Gd",484,"Y",192,26,"120","RL","Norm","1Story",13,12
1678,"1Fam","Stone",730,"Ex","Y",2492,2492,"Ex",949,"Y",226,235,"20","RL","Norm","1Story",16,15
1679,"1Fam","BrkFace",470,"Gd","Y",2200,2200,"Ex",685,"Y",208,55,"20","RL","Norm","1Story",17,16
1680,"TwnhsE","BrkFace",308,"Ex","Y",1884,1884,"Ex",649,"Y",231,90,"120","RL","Norm","1Story",12,11
1681,"TwnhsE","BrkFace",500,"Ex","Y",1456,1456,"Ex",539,"Y",192,42,"120","RL","Norm","1Story",12,12
1682,"1Fam","BrkFace",270,"Gd","Y",1712,1712,"Gd",701,"Y",218,183,"20","RL","Norm","1Story",18,17
1683,"TwnhsE","Stone",163,"Gd","Y",1405,1405,"Gd",478,"Y",148,36,"120","RL","Norm","1Story",17,17
1684,"1Fam","None",0,"Gd","Y",728,1456,"Gd",390,"Y",100,0,"60","RL","RRAn","2Story",15,15
1685,"1Fam","None",0,"Gd","Y",745,1490,"Gd",392,"Y",36,20,"60","RL","Norm","2Story",15,14
1686,"TwnhsE","BrkFace",16,"Gd","Y",1220,1220,"Gd",397,"Y",100,16,"120","RL","Norm","1Story",15,14
