"Id","BldgType","MasVnrType_clean","MasVnrArea_clean_scale","ExterQual","CentralAir","1stFlrSF_scale","GrLivArea_scale","KitchenQual_clean","GarageArea_clean_scale","PavedDrive","WoodDeckSF_scale","OpenPorchSF_scale","MSSubClass_agrup","MSZoning_agrup","Condition1","HouseStyle","antiguedad_scale","reforma_scale"
1490,"1Fam","None",-0.561396796481775,"Gd","Y",0.78225043920245,-0.0371647071620983,"Gd",0.255629534304979,"Y",-0.72938168744377,0.779376661574358,"20","FV","Norm","1Story",-1.10701356634952,-1.00978446736801
1491,"1Fam","BrkFace",0.12804370979781,"Gd","Y",-0.817585530274103,0.356190596121533,"Gd",0.053169555472798,"Y",0.397865042817564,0.285788689532973,"60","RL","Norm","2Story",-1.07410808201034,-0.962459436437746
1492,"1Fam","None",-0.561396796481775,"TA","N",-0.363001055430687,-0.976274750603647,"TA",-0.199905418067428,"Y",0.21781869006749,-0.701387254549797,"30","OTHER","Feedr","1Story",1.68995260248015,1.59309223379629
1493,"1Fam","BrkCmn",0.851391126222292,"TA","Y",0.847549866528024,0.0163810409288672,"TA",-0.0526617970985692,"Y",1.58773659142675,-0.701387254549797,"20","RL","RRNe","1Story",-0.086943551835168,-0.867809374577226
1494,"1Fam","BrkFace",2.28678365568962,"Gd","Y",0.237251372677471,1.77721237238177,"Gd",1.33234851263976,"Y",-0.478882414052362,1.18586087384373,"60","RL","Norm","2Story",-0.712147754279445,-0.441884096204887
1495,"1Fam","BrkFace",0.455810507865153,"Gd","Y",0.616490354452917,1.52184034302486,"Gd",1.10688171803119,"Y",0.820582566665565,-0.265868455689752,"60","RL","Norm","2Story",-0.679242269940273,-0.441884096204887
1496,"TwnhsE","None",-0.561396796481775,"Gd","Y",0.83248076791443,0.00402432983095211,"Gd",0.154399544888888,"Y",0.58573949786112,0.0244774102169457,"120","FV","Norm","1Story",-1.07410808201034,-1.00978446736801
1497,"TwnhsE","None",-0.561396796481775,"Gd","Y",-0.794981882353712,0.399439084964236,"Gd",0.531711323621589,"Y",-0.72938168744377,0.910032301232372,"160","FV","Norm","2Story",-1.07410808201034,-0.962459436437746
1498,"TwnhsE","BrkFace",0.116741406416177,"Gd","Y",-1.39774582689747,-0.589097802868973,"Gd",0.0347641028516906,"Y",-0.72938168744377,1.7955871922478,"160","FV","Norm","2Story",-1.07410808201034,-0.962459436437746
1499,"Twnhs","None",-0.561396796481775,"Gd","Y",-1.39774582689747,-0.589097802868973,"Gd",0.0347641028516906,"Y",-0.72938168744377,1.7955871922478,"160","FV","Norm","2Story",-1.07410808201034,-1.00978446736801
1500,"Twnhs","BrkFace",0.659251968734539,"Gd","Y",-1.39774582689747,-0.514957536281483,"Gd",0.0347641028516906,"Y",-0.72938168744377,1.70848343247579,"160","FV","Norm","2Story",-1.10701356634952,-1.00978446736801
1501,"TwnhsE","BrkFace",5.98828801317428,"Gd","Y",-1.00594926294403,0.0534511742226126,"Gd",-0.149290423359383,"Y",-0.72938168744377,-0.236833869099082,"160","FV","Norm","2Story",-0.942486144653653,-0.773159312716706
1502,"TwnhsE","None",-0.561396796481775,"Gd","Y",-1.5735519773894,-0.836232024827276,"Gd",0.10838591333612,"Y",-0.72938168744377,0.0244774102169457,"160","FV","Norm","2Story",-1.04120259767117,-0.915134405507486
1503,"1Fam","None",-0.561396796481775,"Gd","Y",0.656674617422501,-0.140137299644724,"Gd",1.74647119661467,"Y",0.523114679513268,2.0859330581545,"20","FV","Norm","1Story",-1.27154098804538,-1.2464096220193
1504,"1Fam","None",-0.561396796481775,"Gd","Y",-0.455927163547849,0.745426995705859,"Gd",0.550116776242696,"Y",1.46248695473105,1.96979471179182,"60","FV","Norm","2Story",-0.942486144653653,-0.773159312716706
1505,"1Fam","None",-0.561396796481775,"Gd","Y",0.842526833656826,0.0122621372295622,"Gd",0.568522228863804,"Y",1.4390026478506,1.28748192691108,"20","FV","Norm","1Story",-1.008297113332,-0.867809374577226
1506,"1Fam","BrkFace",0.116741406416177,"TA","Y",1.68890787245368,0.706297410562461,"TA",0.287839076391917,"Y",-0.72938168744377,0.401927035895652,"20","RL","Norm","1Story",0.143394838539039,0.788566707981869
1507,"1Fam","None",-0.561396796481775,"TA","Y",0.310085349309841,2.07789234243104,"Gd",0.863009470801521,"Y",1.02411322629608,-0.236833869099082,"60","RL","Norm","2Story",-0.712147754279445,-0.441884096204887
1508,"1Fam","None",-0.561396796481775,"TA","Y",0.327665964359034,0.833983425240917,"TA",0.945834007596504,"Y",-0.72938168744377,0.300305982828308,"50","RL","Norm","1.5Fin",-0.218565489191858,0.267991367749011
1509,"1Fam","None",-0.561396796481775,"TA","Y",-0.568945403149803,0.327358270226398,"TA",-0.144689060204106,"Y",-0.72938168744377,0.430961622486322,"60","RL","Norm","2Story",0.0117729011823495,0.59926658426083
1510,"1Fam","BrkFace",0.410601294338623,"TA","Y",0.18953256040109,-0.523195343680093,"TA",0.080777734404459,"Y",-0.72938168744377,2.55048644360521,"20","RL","Norm","1Story",0.176300322878212,0.835891738912129
1511,"1Fam","None",-0.561396796481775,"TA","Y",0.131767682382313,-0.570562736222101,"TA",0.145196818578335,"Y",-0.72938168744377,-0.701387254549797,"20","RL","Norm","1Story",0.176300322878212,0.835891738912129
1512,"1Fam","BrkFace",0.953111856656985,"TA","Y",0.887734129497608,0.0493322705233075,"Gd",0.205014539596934,"Y",-0.72938168744377,-0.120695522736403,"20","RL","Norm","1Story",0.143394838539039,0.788566707981869
1513,"1Fam","None",-0.561396796481775,"TA","Y",-0.0641305995944074,0.595087010681225,"TA",0.0347641028516906,"Y",-0.72938168744377,1.7955871922478,"80","RL","Norm","SLvl",0.242111291556557,0.930541800772649
1514,"Duplex","BrkFace",0.252369046995767,"TA","Y",1.43524471245819,0.498292773747557,"TA",-2.17389021168119,"Y",-0.72938168744377,-0.701387254549797,"90","RL","Norm","1Story",0.307922260234902,-0.820484343646966
1515,"1Fam","BrkFace",0.936158401584536,"Gd","Y",1.94005951601358,2.00787097954285,"TA",-0.333344949570456,"Y",-0.72938168744377,-0.701387254549797,"50","RL","Norm","1.5Fin",0.636977103626627,-0.867809374577226
1516,"1Fam","Stone",1.35999477839576,"TA","Y",-0.345420440381494,0.144067055607323,"TA",-0.0112495287010777,"Y",-0.72938168744377,-0.701387254549797,"50","RL","Artery","1.5Fin",0.735693556644144,1.59309223379629
1517,"1Fam","BrkFace",0.659251968734539,"TA","Y",-0.0716651489012043,-0.737378336043955,"Gd",-0.724460817768987,"Y",1.13370665840482,-0.701387254549797,"OTHERS","RL","Norm","SFoyer",0.176300322878212,-1.15175956015879
1518,"Duplex","None",-0.561396796481775,"TA","Y",1.12381667444391,0.242920744390644,"TA",0.476494965758267,"Y",-0.400601391117548,-0.701387254549797,"90","RL","Feedr","1Story",0.439544197591592,1.21449198635421
1519,"1Fam","BrkFace",2.29808595907126,"Gd","Y",0.812388636429638,-0.012451284966268,"Gd",0.678954944590448,"Y",1.24330009051356,0.358375156009647,"20","RL","Norm","1Story",-1.04120259767117,-1.19908459108905
1520,"1Fam","BrkFace",0.286275957140665,"TA","Y",-0.0339924023672196,-0.706486558299167,"TA",-0.756670359855925,"Y",-0.72938168744377,-0.701387254549797,"20","RL","Norm","1Story",0.406638713252419,1.16716695542395
1521,"1Fam","BrkFace",-0.0471419926174947,"TA","Y",0.124233133075516,-0.576741091771058,"TA",-0.738264907234818,"Y",-0.72938168744377,-0.396524095347765,"20","RL","Norm","1Story",0.406638713252419,1.16716695542395
1522,"1Fam","Stone",1.87990073395085,"TA","Y",1.06354027998954,0.193493899998984,"TA",-0.149290423359383,"Y",-0.72938168744377,-0.294903042280421,"20","RL","Norm","1Story",0.406638713252419,1.16716695542395
1523,"1Fam","None",-0.561396796481775,"TA","Y",-0.815074013838504,-0.306952899466578,"TA",-0.963731701843383,"Y",-0.72938168744377,-0.701387254549797,"50","RL","Norm","1.5Fin",0.505355166269937,1.30914204821473
1524,"1Fam","None",-0.561396796481775,"TA","Y",-0.232402200779539,-0.869183254421716,"Fa",-0.710656728303157,"Y",-0.72938168744377,-0.701387254549797,"20","RL","Norm","1Story",0.636977103626627,1.49844217193577
1525,"1Fam","None",-0.561396796481775,"TA","Y",-0.463461712854646,-1.05865282458975,"TA",-0.770474449321756,"Y",-0.72938168744377,-0.701387254549797,"20","RL","Norm","1Story",0.538260650609109,1.35646707914499
1526,"2fmCon","None",-0.561396796481775,"TA","Y",-0.423277449885062,-1.02570159499531,"TA",-0.959130338688106,"Y",-0.72938168744377,-0.701387254549797,"190","RL","Norm","1Story",0.439544197591592,1.21449198635421
1527,"1Fam","None",-0.561396796481775,"TA","Y",-0.430811999191859,-1.03187995054426,"TA",0.936631281285951,"N",-0.72938168744377,-0.701387254549797,"30","RL","Norm","1Story",1.68995260248015,-0.489209127135147
1528,"1Fam","None",-0.561396796481775,"TA","Y",-0.855258276808087,-0.539670958477313,"TA",-0.885508528203677,"Y",2.51145266205757,-0.701387254549797,"50","RL","Artery","1.5Fin",0.768599040983317,-0.962459436437746
1529,"1Fam","None",-0.561396796481775,"TA","Y",0.0463761235719479,-0.640584099110286,"TA",0.053169555472798,"Y",-0.72938168744377,-0.701387254549797,"20","RL","Norm","1Story",0.373733228913247,1.11984192449369
1530,"1Fam","BrkFace",0.670554272116171,"TA","Y",0.598909739403724,-0.187504692186732,"TA",-0.149290423359383,"Y",4.41368151937357,-0.701387254549797,"20","RL","Norm","1Story",0.275016775895729,-0.0159588178325483
1531,"1Fam","BrkFace",3.79564115713757,"TA","Y",0.00116882773116622,0.737189188307249,"TA",-1.06956305441475,"Y",-0.071821094791325,-0.701387254549797,"50","RM","Norm","1.5Fin",2.3480622892636,1.40379211007525
1532,"1Fam","None",-0.561396796481775,"TA","Y",-0.553876304536209,-1.13279309117724,"TA",-2.17389021168119,"P",-0.330148470476214,-0.701387254549797,"30","RM","Artery","1Story",1.68995260248015,1.59309223379629
1533,"1Fam","None",-0.561396796481775,"TA","Y",0.478356950494973,-0.286358380970053,"Gd",0.361460886876346,"Y",-0.72938168744377,-0.701387254549797,"20","RM","Norm","1Story",0.472449681930764,1.26181701728447
1534,"1Fam","None",-0.561396796481775,"TA","Y",-0.827631596016499,-0.484065758536695,"Fa",-1.06956305441475,"N",-0.72938168744377,-0.701387254549797,"OTHERS","RM","Norm","1.5Fin",1.09765388437504,-0.773159312716706
1535,"1Fam","None",-0.561396796481775,"TA","Y",-0.325328308896702,0.302644848030567,"Gd",-1.06956305441475,"Y",-0.72938168744377,0.750342074983689,"50","RM","Artery","1.5Fin",0.768599040983317,-1.19908459108905
1536,"1Fam","None",-0.561396796481775,"TA","Y",-0.242448266521935,-0.49642246963461,"TA",-0.724460817768987,"Y",-0.72938168744377,-0.701387254549797,"50","RM","Artery","1.5Fin",1.68995260248015,1.02519186263317
1537,"1Fam","None",-0.561396796481775,"TA","N",-0.815074013838504,-1.3469760835411,"TA",1.41517304943474,"N",-0.72938168744377,-0.701387254549797,"30","RM","Norm","1Story",1.59123614946263,0.64659161519109
1538,"1Fam","None",-0.561396796481775,"Gd","N",-0.568945403149803,0.164661574103849,"Gd",-0.848697622961462,"Y",-0.30666416359577,2.60855561678655,"70","RM","Norm","2Story",2.3480622892636,-0.915134405507486
1539,"1Fam","None",-0.561396796481775,"Gd","Y",0.00116882773116622,1.61039677255992,"Gd",0.697360397211555,"N",-0.72938168744377,0.866480421346367,"70","RM","Norm","2Story",2.67711713265532,-0.867809374577226
1540,"2fmCon","None",-0.561396796481775,"TA","N",-0.0716651489012043,1.58568335036409,"Fa",-2.17389021168119,"N",-0.72938168744377,-0.44007597523377,"190","RM","Norm","2Story",2.01900744587187,1.59309223379629
1541,"1Fam","None",-0.561396796481775,"TA","Y",-0.72465942215694,-0.0330458034627932,"TA",0.697360397211555,"Y",-0.72938168744377,-0.701387254549797,"70","RM","Norm","2Story",1.6241416338018,-0.489209127135147
1542,"1Fam","None",-0.561396796481775,"TA","Y",-0.317793759589905,0.259396359187864,"TA",-0.503595386315699,"Y",-0.72938168744377,-0.701387254549797,"50","RM","Feedr","1.5Fin",0.702788072304972,-0.631184219925927
1543,"1Fam","None",-0.561396796481775,"TA","N",0.00870337703796317,1.19850640262941,"Gd",-0.724460817768987,"Y",-0.72938168744377,-0.701387254549797,"OTHERS","RL","Norm","2.5Unf",1.6241416338018,-1.00978446736801
1544,"1Fam","None",-0.561396796481775,"TA","N",-0.983345615023636,-1.48495935746782,"Gd",-1.25361758062582,"P",0.327412122176231,-0.701387254549797,"30","RM","Feedr","1Story",1.52542518078428,1.59309223379629
1545,"1Fam","None",-0.561396796481775,"TA","Y",-1.37765369541268,-0.729140528645345,"TA",-1.06956305441475,"Y",-0.72938168744377,-0.701387254549797,"50","RM","Norm","1.5Fin",1.06474840003587,1.59309223379629
1546,"1Fam","None",-0.561396796481775,"TA","Y",-0.77488975086892,-0.597335610267583,"TA",0.476494965758267,"Y",-0.72938168744377,-0.701387254549797,"50","RM","Norm","1.5Fin",1.0318429156967,1.59309223379629
1547,"1Fam","Stone",1.13394871076311,"TA","Y",-0.506157492259829,-0.068056484906886,"Gd",-1.06956305441475,"Y",-0.72938168744377,-0.701387254549797,"50","RM","Feedr","1.5Fin",0.966031947018352,1.59309223379629
1548,"1Fam","None",-0.561396796481775,"TA","Y",-0.945672868489651,-0.144256203344029,"TA",-0.738264907234818,"P",1.00062891941564,-0.701387254549797,"50","RM","Norm","1.5Fin",0.768599040983317,1.59309223379629
1549,"1Fam","None",-0.561396796481775,"TA","Y",-1.52834468154862,-0.918610098813376,"TA",0.697360397211555,"P",1.66601761436157,-0.701387254549797,"50","RM","Norm","1.5Fin",1.16346485305339,0.173341305888491
1550,"1Fam","None",-0.561396796481775,"TA","Y",-0.573968436021001,0.102878018614273,"TA",0.0347641028516906,"Y",-0.72938168744377,-0.556214321596449,"50","RM","Norm","1.5Fin",1.36089775908842,1.59309223379629
1551,"1Fam","None",-0.561396796481775,"TA","Y",-0.222356135037143,-0.860945447023106,"TA",-0.848697622961462,"Y",-0.72938168744377,-0.701387254549797,"30","RM","Artery","1Story",1.59123614946263,1.59309223379629
1552,"1Fam","None",-0.561396796481775,"TA","Y",-0.674429093444961,0.980204506566246,"TA",0.45808951313716,"Y",0.523114679513268,-0.701387254549797,"50","RM","Norm","1.5Fin",1.85448002417601,1.59309223379629
1553,"1Fam","None",-0.561396796481775,"Gd","Y",-0.945672868489651,0.152304863005933,"Gd",-2.17389021168119,"N",1.96348550151386,-0.701387254549797,"70","RM","Norm","2Story",1.95319647719353,-1.19908459108905
1554,"1Fam","None",-0.561396796481775,"TA","Y",-1.24203180789033,-0.333725773512061,"TA",-1.34564484373136,"Y",-0.72938168744377,-0.701387254549797,"70","RM","Norm","2Story",1.68995260248015,-0.441884096204887
1555,"1Fam","BrkFace",-0.052793144308311,"TA","Y",1.30213434137144,0.389141825715973,"TA",-0.494392660005145,"Y",-0.72938168744377,1.2148954604344,"20","RL","Feedr","1Story",0.406638713252419,1.16716695542395
1556,"1Fam","None",-0.561396796481775,"TA","N",-1.08380627244759,-0.539670958477313,"TA",-1.34564484373136,"N",-0.72938168744377,-0.701387254549797,"50","RL","Norm","1.5Fin",1.78866905549766,1.59309223379629
1557,"2fmCon","None",-0.561396796481775,"Fa","N",0.13930223168911,-0.19368304773569,"TA",-2.17389021168119,"N",-0.72938168744377,-0.701387254549797,"190","RL","Norm","1.5Fin",1.85448002417601,1.59309223379629
1558,"1Fam","None",-0.561396796481775,"TA","N",-1.39774582689747,-1.16780377262133,"TA",-1.11097532281224,"Y",-0.72938168744377,-0.701387254549797,"50","RL","Norm","1.5Fin",1.0318429156967,1.59309223379629
1559,"1Fam","None",-0.561396796481775,"TA","N",-0.538807205922615,0.81956726229335,"TA",-2.17389021168119,"N",-0.72938168744377,-0.701387254549797,"70","OTHER","Norm","2Story",2.11772389888939,1.59309223379629
1560,"2fmCon","None",-0.561396796481775,"TA","Y",-0.553876304536209,0.399439084964236,"TA",-0.103276791806614,"P",-0.291007959008807,1.38910297997842,"190","OTHER","Artery","1.5Fin",2.01900744587187,1.59309223379629
1561,"Duplex","BrkFace",-0.154513874743004,"Fa","N",1.69644242176048,0.712475766111419,"TA",-2.17389021168119,"Y",-0.72938168744377,0.140615756579625,"90","RL","Norm","1Story",0.143394838539039,0.788566707981869
1562,"1Fam","BrkFace",-0.29579266701341,"TA","Y",-0.664383027702565,-1.22340897256195,"Gd",-0.259723139086027,"Y",-0.72938168744377,-0.701387254549797,"20","RL","Norm","1Story",0.176300322878212,-1.15175956015879
1563,"1Fam","None",-0.561396796481775,"TA","Y",-0.734705487899336,-1.28107362435222,"TA",-0.885508528203677,"Y",1.03976943088305,-0.701387254549797,"20","RL","Norm","1Story",0.110489354199867,0.741241677051609
1564,"Duplex","None",-0.561396796481775,"TA","Y",0.543656377820547,-0.232812632879088,"TA",0.545515413087419,"Y",-0.72938168744377,-0.701387254549797,"90","RL","Norm","SFoyer",-0.218565489191858,0.267991367749011
1565,"1Fam","None",-0.561396796481775,"TA","Y",-1.09636385462559,-0.0948293589523688,"TA",0.0347641028516906,"Y",0.773613952904676,-0.149730109327073,"60","RL","Norm","2Story",0.110489354199867,0.741241677051609
1566,"1Fam","None",-0.561396796481775,"Gd","Y",0.819923185736435,-0.00627292941731048,"TA",1.00105036545983,"Y",3.15335705012305,-0.701387254549797,"20","RL","Norm","1Story",-0.185660004852685,-0.820484343646966
1567,"1Fam","None",-0.561396796481775,"TA","N",-1.00594926294403,-1.50349442411469,"TA",-0.149290423359383,"N",-0.103133503965251,-0.701387254549797,"30","RL","Feedr","1Story",1.45961421210594,1.59309223379629
1568,"1Fam","BrkFace",1.06613489047331,"TA","Y",-0.0992918296927932,1.01933409170964,"Gd",0.228021355373318,"Y",1.90086068316601,0.808411248165028,"60","RL","Norm","2Story",-0.218565489191858,-0.394559065274627
1569,"1Fam","None",-0.561396796481775,"TA","Y",-0.262540398006727,0.255277455488559,"Fa",0.0347641028516906,"Y",-0.72938168744377,-0.701387254549797,"50","RL","Norm","1.5Fin",1.09765388437504,-0.299909003414108
1570,"1Fam","None",-0.561396796481775,"TA","Y",-0.207287036423549,-0.848588735925191,"Gd",-0.0250536181669082,"Y",-0.72938168744377,0.0535119968076154,"20","RL","Norm","1Story",0.702788072304972,-0.157933910623328
1571,"1Fam","None",-0.561396796481775,"TA","Y",0.031307024958354,0.0925807593660104,"TA",-1.21220531222833,"Y",-0.72938168744377,-0.701387254549797,"50","RL","Norm","1.5Fin",0.801504525322489,0.220666336818751
1572,"1Fam","None",-0.561396796481775,"TA","Y",0.038841574265151,-0.646762454659244,"TA",-0.489791296849869,"Y",1.14936286299179,-0.701387254549797,"20","RL","Norm","1Story",0.571166134948282,-0.678509250856187
1573,"1Fam","Stone",-0.0188862341634134,"Gd","Y",0.88271109662641,0.0452133668240025,"Gd",0.45808951313716,"Y",-0.72938168744377,-0.701387254549797,"20","RL","Norm","1Story",-1.23863550370621,-1.2464096220193
1574,"1Fam","None",-0.561396796481775,"TA","Y",0.355292645150623,-0.387271521603026,"TA",0.145196818578335,"N",-0.72938168744377,1.38910297997842,"20","RL","Norm","1Story",0.242111291556557,0.930541800772649
1575,"1Fam","BrkFace",0.438857052792704,"Gd","Y",0.694347363956486,-0.109245521899936,"Gd",0.255629534304979,"Y",-0.72938168744377,3.33442028155329,"20","RL","Norm","1Story",-0.51471484824441,-0.157933910623328
1576,"1Fam","BrkFace",-0.0810489027623923,"Gd","Y",-0.483553844339438,0.650692210621843,"Gd",2.50569611723535,"Y",2.7932643446229,0.63420372862101,"60","RL","Norm","2Story",-0.712147754279445,-0.441884096204887
1577,"1Fam","Stone",-0.109304661216474,"Gd","Y",0.1644173960451,-0.543789862176618,"Gd",0.655948128814064,"Y",-0.72938168744377,0.0825465833982851,"20","RL","Norm","1Story",-1.27154098804538,-1.2464096220193
1578,"1Fam","None",-0.561396796481775,"TA","Y",-0.817585530274103,-0.0845320997041062,"TA",0.053169555472798,"N",-0.72938168744377,0.155133049874959,"50","RL","Norm","1.5Fin",2.3480622892636,-0.441884096204887
1579,"1Fam","None",-0.561396796481775,"TA","Y",-0.481042327903839,-1.07306898753732,"TA",0.494900418379374,"Y",-0.173586424606584,-0.701387254549797,"OTHERS","RL","Norm","SFoyer",-0.810864207296963,-0.583859188995667
1580,"1Fam","None",-0.561396796481775,"TA","Y",-0.664383027702565,0.424152507160066,"TA",0.186609086975826,"Y",-0.72938168744377,-0.135212816031738,"60","RL","Norm","2Story",-0.843769691636135,-0.678509250856187
1581,"1Fam","None",-0.561396796481775,"Gd","Y",-0.327839825332301,-0.947442424708512,"TA",-0.756670359855925,"Y",1.74429863729638,0.532582675553666,"20","RL","Norm","1Story",-0.185660004852685,-0.962459436437746
