"Id","BldgType","MasVnrType_clean","MasVnrArea_clean","ExterQual","CentralAir","1stFlrSF","GrLivArea","KitchenQual_clean","GarageArea_clean","PavedDrive","WoodDeckSF","OpenPorchSF","MSSubClass_agrup","MSZoning_agrup","Condition1","HouseStyle","antiguedad","reforma","averagePrice_surface"
21,"1Fam","BrkFace",380,"Gd","Y",1158,2376,"Gd",853,"Y",240,154,"60","RL","Norm","2Story",15,14,136.910774410774
22,"1Fam","None",0,"TA","Y",1108,1108,"Gd",280,"N",0,0,"OTHERS","RM","Norm","1.5Unf",90,70,125.812274368231
23,"1Fam","BrkFace",281,"Gd","Y",1795,1795,"Gd",534,"Y",171,159,"20","RL","Norm","1Story",18,18,128.133704735376
24,"TwnhsE","None",0,"TA","Y",1060,1060,"TA",572,"Y",100,110,"120","RM","Norm","1Story",44,44,122.547169811321
25,"1Fam","None",0,"TA","Y",1060,1060,"Gd",270,"Y",406,90,"20","RL","Norm","1Story",52,19,145.283018867925
26,"1Fam","Stone",640,"Gd","Y",1600,1600,"Gd",890,"Y",0,56,"20","RL","Norm","1Story",13,13,160.1875
27,"1Fam","None",0,"TA","Y",900,900,"Gd",576,"Y",222,32,"20","RL","Norm","1Story",69,20,149.777777777778
28,"1Fam","Stone",200,"Gd","Y",1704,1704,"Gd",772,"Y",0,50,"20","RL","Norm","1Story",13,12,179.577464788732
29,"1Fam","None",0,"TA","Y",1600,1600,"TA",319,"Y",288,258,"20","RL","Norm","1Story",63,23,129.6875
30,"1Fam","None",0,"TA","N",520,520,"Fa",240,"Y",49,0,"30","RM","Feedr","1Story",93,70,131.730769230769
31,"1Fam","None",0,"TA","N",649,1317,"TA",250,"N",0,54,"70","OTHER","Feedr","2Story",100,70,41.5049579372798
32,"1Fam","None",0,"TA","Y",1228,1228,"Gd",271,"Y",0,65,"20","RL","Norm","1Story",54,14,121.620521172638
33,"1Fam","None",0,"Gd","Y",1234,1234,"Gd",484,"Y",0,30,"20","RL","Norm","1Story",13,13,145.786061588331
34,"1Fam","None",0,"TA","Y",1700,1700,"Gd",447,"Y",0,38,"20","RL","Norm","1Story",61,61,97.3529411764706
35,"TwnhsE","BrkFace",246,"Ex","Y",1561,1561,"Ex",556,"Y",203,47,"120","RL","Norm","1Story",15,15,177.77065983344
36,"1Fam","Stone",132,"Gd","Y",1132,2452,"Gd",691,"Y",113,32,"60","RL","Norm","2Story",16,15,126.019575856444
37,"1Fam","None",0,"TA","Y",1097,1097,"TA",672,"Y",392,64,"20","RL","Norm","1Story",26,25,132.178669097539
38,"1Fam","BrkFace",650,"TA","Y",1297,1297,"TA",498,"Y",0,0,"20","RL","Norm","1Story",66,30,117.964533538936
39,"1Fam","None",0,"TA","Y",1057,1057,"Gd",246,"Y",0,52,"20","RL","Norm","1Story",67,13,103.122043519395
40,"Duplex","None",0,"TA","N",1152,1152,"Fa",0,"N",0,0,"90","RL","Norm","1Story",65,65,71.1805555555556
41,"1Fam","BrkFace",101,"TA","Y",1324,1324,"TA",440,"Y",0,138,"20","RL","Norm","1Story",55,55,120.845921450151
42,"1Fam","None",0,"TA","Y",1328,1328,"TA",308,"P",0,104,"20","RL","Norm","1Story",61,61,128.012048192771
43,"1Fam","None",0,"TA","Y",884,884,"Gd",504,"Y",240,0,"OTHERS","RL","Norm","SFoyer",37,37,162.89592760181
44,"1Fam","None",0,"TA","Y",938,938,"TA",308,"Y",145,0,"20","RL","Norm","1Story",45,40,138.859275053305
45,"1Fam","None",0,"TA","Y",1150,1150,"TA",300,"Y",0,0,"20","RL","Norm","1Story",61,61,122.608695652174
46,"TwnhsE","BrkFace",412,"Ex","Y",1752,1752,"Ex",576,"Y",196,82,"120","RL","Norm","1Story",15,15,182.591324200913
47,"1Fam","None",0,"Gd","Y",1518,2149,"Gd",670,"Y",168,43,"50","RL","Norm","1.5Fin",17,17,111.533736621685
48,"1Fam","None",0,"Gd","Y",1656,1656,"Gd",826,"Y",0,146,"20","FV","Norm","1Story",14,14,150.785024154589
49,"2fmCon","None",0,"TA","Y",736,1452,"TA",0,"N",0,0,"190","RM","Norm","2Story",100,12,77.8236914600551
50,"1Fam","None",0,"TA","Y",955,955,"TA",386,"Y",0,0,"20","RL","Norm","1Story",54,54,132.984293193717
51,"1Fam","None",0,"TA","Y",794,1470,"TA",388,"Y",0,75,"60","RL","Norm","2Story",23,23,120.408163265306
52,"1Fam","None",0,"TA","Y",816,1176,"TA",528,"Y",112,0,"50","RM","Norm","1.5Fin",86,70,97.3639455782313
53,"Duplex","None",0,"Fa","N",816,816,"TA",516,"Y",106,0,"90","RM","RRNn","1Story",57,57,134.803921568627
54,"1Fam","None",0,"Gd","Y",1842,1842,"Gd",894,"Y",857,72,"20","RL","Norm","1Story",39,33,197.01709064438
55,"1Fam","None",0,"TA","Y",1360,1360,"TA",572,"Y",0,50,"80","RL","Norm","SLvl",65,65,95.5882352941177
56,"1Fam","BrkFace",272,"TA","Y",1425,1425,"TA",576,"Y",0,0,"20","RL","Norm","1Story",56,56,126.666666666667
57,"Twnhs","BrkFace",456,"Gd","Y",983,1739,"Gd",480,"Y",115,0,"160","FV","Norm","2Story",21,20,99.1949396204715
58,"1Fam","None",0,"Gd","Y",860,1720,"Gd",565,"Y",0,70,"60","RL","Norm","2Story",16,16,114.244186046512
59,"1Fam","BrkFace",1031,"Ex","Y",1426,2945,"Gd",641,"Y",192,0,"60","RL","Norm","2Story",14,14,148.991511035654
60,"1Fam","None",0,"TA","Y",780,780,"TA",352,"Y",196,0,"20","RL","Norm","1Story",48,48,160.128205128205
61,"1Fam","None",0,"TA","Y",1158,1158,"Gd",576,"Y",0,50,"20","RL","RRAe","1Story",16,16,136.442141623489
62,"1Fam","None",0,"TA","N",581,1111,"Fa",288,"N",0,0,"OTHERS","RM","Norm","2.5Unf",100,24,90.9090909090909
63,"TwnhsE","Stone",178,"Gd","Y",1370,1370,"Gd",484,"Y",120,49,"120","RL","Norm","1Story",14,14,147.810218978102
64,"1Fam","None",0,"TA","Y",902,1710,"TA",480,"Y",12,11,"70","RM","RRAn","2Story",99,70,81.8713450292398
65,"1Fam","BrkFace",573,"TA","Y",1057,2034,"Gd",645,"Y",576,36,"60","RL","Norm","2Story",23,22,107.915437561455
66,"1Fam","BrkFace",344,"Gd","Y",1143,2473,"Gd",852,"Y",192,151,"60","RL","Norm","2Story",16,15,128.184391427416
67,"1Fam","BrkFace",287,"TA","Y",2207,2207,"TA",576,"Y",301,0,"20","RL","PosA","1Story",50,31,81.5586769370186
68,"1Fam","BrkFace",167,"Gd","Y",1479,1479,"Gd",558,"Y",144,29,"20","RL","Norm","1Story",17,17,152.805949966193
69,"1Fam","None",0,"TA","Y",747,747,"TA",220,"Y",0,0,"30","RM","Artery","1Story",75,70,107.095046854083
70,"1Fam","None",0,"Gd","Y",1304,2287,"TA",667,"Y",0,21,"50","RL","Norm","1.5Fin",67,67,98.3821600349803
71,"1Fam","BrkFace",1115,"TA","Y",2223,2223,"TA",516,"Y",300,0,"20","RL","Norm","1Story",47,47,109.761583445794
72,"1Fam","None",0,"TA","Y",845,845,"TA",360,"Y",0,0,"20","RL","Norm","1Story",38,14,153.254437869822
73,"1Fam","BrkFace",40,"TA","Y",885,1718,"TA",427,"Y",0,94,"60","RL","Norm","2Story",22,22,107.683352735739
74,"1Fam","BrkFace",104,"TA","Y",1086,1086,"TA",490,"Y",0,0,"20","RL","Norm","1Story",66,17,133.425414364641
75,"1Fam","None",0,"Gd","N",840,1605,"TA",379,"Y",0,0,"50","RM","Norm","2Story",105,70,66.9158878504673
76,"Twnhs","None",0,"TA","Y",526,988,"TA",297,"Y",120,101,"OTHERS","RM","Norm","SLvl",47,47,92.1052631578947
77,"1Fam","None",0,"TA","Y",952,952,"TA",283,"Y",0,0,"20","RL","Norm","1Story",64,64,142.594537815126
78,"1Fam","None",0,"TA","Y",1072,1285,"TA",240,"Y",0,0,"50","RM","Norm","1.5Fin",72,19,98.8326848249027
79,"Duplex","None",0,"TA","N",1768,1768,"TA",0,"Y",0,0,"90","RL","Norm","1Story",52,52,77.2058823529412
80,"1Fam","None",0,"TA","Y",682,1230,"TA",440,"Y",74,0,"50","RM","Norm","2Story",110,39,89.4308943089431
81,"1Fam","BrkFace",576,"TA","Y",1182,2142,"Gd",509,"Y",0,72,"60","RL","Norm","2Story",52,52,90.3361344537815
82,"TwnhsE","BrkFace",443,"TA","Y",1337,1337,"TA",405,"Y",0,199,"120","RM","Norm","1Story",22,22,114.809274495138
83,"1Fam","Stone",468,"TA","Y",1563,1563,"Gd",758,"Y",144,99,"20","RL","Norm","1Story",13,13,156.749840051184
84,"1Fam","BrkCmn",66,"TA","Y",1065,1065,"TA",461,"Y",74,0,"20","RL","Norm","1Story",60,60,118.779342723005
85,"1Fam","BrkFace",22,"TA","Y",804,1474,"TA",400,"Y",120,72,"80","RL","Norm","SLvl",25,24,114.314789687924
86,"1Fam","BrkFace",284,"Gd","Y",1301,2417,"Gd",462,"Y",127,82,"60","RL","Norm","2Story",29,28,107.571369466281
87,"1Fam","None",0,"Gd","Y",684,1560,"Gd",400,"Y",100,38,"60","RL","Norm","2Story",15,15,111.538461538462
88,"TwnhsE","Stone",76,"Gd","Y",612,1224,"Gd",528,"Y",0,234,"160","FV","Norm","2Story",11,11,134.395424836601
89,"1Fam","None",0,"Fa","N",1013,1526,"Fa",0,"N",0,0,"50","OTHER","Feedr","1.5Fin",105,38,55.7011795543906
90,"1Fam","None",0,"TA","Y",990,990,"TA",0,"Y",0,0,"20","RL","Norm","1Story",26,25,124.848484848485
91,"1Fam","None",0,"TA","Y",1040,1040,"TA",420,"Y",0,29,"20","RL","Norm","1Story",70,70,105.673076923077
92,"1Fam","BrkCmn",203,"TA","Y",1235,1235,"TA",480,"Y",0,0,"20","RL","Norm","1Story",59,59,79.8380566801619
93,"1Fam","None",0,"TA","Y",964,964,"TA",432,"Y",0,0,"30","RL","Norm","1Story",99,14,169.605809128631
94,"2fmCon","None",0,"TA","N",1260,2291,"TA",506,"Y",0,0,"190","OTHER","Norm","2.5Unf",110,22,58.4460934089917
95,"1Fam","None",0,"TA","Y",905,1786,"Gd",684,"Y",0,162,"60","RL","Norm","2Story",23,23,114.641657334826
96,"1Fam","BrkFace",68,"Ex","Y",680,1470,"TA",420,"Y",232,63,"60","RL","Norm","2Story",27,27,125.850340136054
97,"1Fam","BrkFace",183,"Gd","Y",1588,1588,"Gd",472,"Y",158,29,"20","RL","Norm","1Story",21,21,134.760705289673
98,"1Fam","BrkFace",48,"TA","Y",960,960,"TA",432,"P",120,0,"20","RL","Norm","1Story",55,55,98.6979166666667
99,"1Fam","None",0,"TA","N",835,835,"TA",366,"Y",0,0,"30","RL","Norm","1Story",100,70,99.4011976047904
100,"1Fam","None",0,"TA","Y",1225,1225,"TA",0,"Y",352,0,"20","RL","Norm","1Story",61,61,105.265306122449
101,"1Fam","BrkFace",28,"TA","Y",1610,1610,"Gd",480,"Y",168,68,"20","RL","Norm","1Story",43,19,127.329192546584
102,"1Fam","BrkFace",336,"Gd","Y",977,1732,"Gd",476,"Y",192,46,"60","RL","Norm","2Story",35,35,102.771362586605
103,"Duplex","None",0,"TA","Y",1535,1535,"TA",410,"Y",0,0,"90","RL","Norm","1Story",41,41,77.5009771986971
104,"1Fam","None",0,"TA","Y",1226,1226,"Gd",740,"Y",0,36,"20","RL","Norm","1Story",11,11,162.234910277325
105,"1Fam","BrkFace",600,"TA","Y",1226,1818,"TA",240,"Y",0,0,"50","RM","Norm","1.5Fin",89,70,93.2343234323432
106,"1Fam","BrkFace",768,"Gd","Y",1053,1992,"Gd",648,"Y",140,45,"60","FV","Norm","2Story",17,16,125.502008032129
107,"1Fam","None",0,"TA","Y",1047,1047,"TA",273,"N",0,0,"30","RM","Norm","1Story",135,25,95.5109837631328
108,"1Fam","None",0,"TA","Y",789,789,"TA",250,"Y",0,0,"20","RM","Norm","1Story",72,70,145.75411913815
109,"1Fam","None",0,"TA","N",997,1517,"Fa",0,"N",0,0,"50","RM","Artery","1.5Fin",101,15,75.8075148319051
110,"1Fam","BrkFace",480,"TA","Y",1844,1844,"TA",546,"Y",0,122,"20","RL","Norm","1Story",43,43,103.036876355748
111,"1Fam","None",0,"TA","Y",1216,1855,"TA",325,"Y",182,0,"50","RL","Norm","1.5Fin",66,48,73.800539083558
112,"1Fam","None",0,"TA","Y",774,1430,"TA",400,"Y",180,0,"80","RL","Norm","SLvl",20,20,125.874125874126
113,"1Fam","Stone",220,"Gd","Y",1282,2696,"Ex",792,"Y",120,184,"60","RL","Norm","2Story",13,13,142.422106824926
114,"1Fam","BrkFace",184,"TA","Y",2259,2259,"Gd",450,"Y",166,120,"20","RL","Norm","1Story",67,67,96.0602036299247
115,"1Fam","None",0,"TA","Y",1436,2320,"Gd",180,"Y",224,0,"70","RL","Norm","2Story",75,18,111.853448275862
116,"TwnhsE","BrkFace",1129,"TA","Y",729,1458,"TA",440,"Y",0,32,"160","FV","Norm","2Story",21,21,120.713305898491
117,"1Fam","BrkFace",116,"TA","Y",1092,1092,"TA",288,"Y",0,20,"20","RL","Norm","1Story",58,58,127.289377289377
118,"1Fam","None",0,"TA","Y",1125,1125,"TA",430,"Y",80,64,"20","RL","Norm","1Story",14,13,137.777777777778
119,"1Fam","None",0,"TA","Y",1699,3222,"Gd",594,"Y",367,0,"60","RL","Norm","2Story",30,30,99.3171942892613
120,"1Fam","None",0,"Gd","Y",728,1456,"Gd",390,"Y",0,24,"60","RL","Norm","2Story",15,14,112.630494505495
121,"1Fam","None",0,"TA","Y",988,988,"TA",540,"Y",0,130,"80","RL","Norm","SLvl",51,51,182.186234817814
122,"1Fam","None",0,"TA","Y",772,1123,"TA",264,"P",0,0,"50","RM","Norm","1.5Fin",81,70,89.0471950133571
123,"1Fam","BrkFace",135,"TA","Y",1080,1080,"TA",288,"Y",0,0,"20","RL","Norm","1Story",62,62,125.925925925926
124,"TwnhsE","None",0,"Gd","Y",1199,1199,"Gd",530,"Y",0,63,"120","RL","Norm","1Story",27,27,128.356964136781
125,"1Fam","None",0,"TA","Y",1586,1586,"TA",435,"Y",192,0,"20","RL","Norm","1Story",41,22,114.123581336696
126,"2fmCon","None",0,"TA","N",520,754,"TA",0,"N",53,0,"190","RM","Norm","1.5Fin",85,38,112.068965517241
127,"TwnhsE","None",0,"TA","Y",958,958,"TA",440,"Y",0,205,"120","RL","Norm","1Story",44,44,133.611691022965
128,"1Fam","None",0,"TA","Y",840,840,"TA",0,"N",0,0,"OTHERS","RM","Feedr","1.5Unf",90,70,103.571428571429
129,"1Fam","BrkFace",266,"TA","Y",660,1348,"TA",453,"Y",188,108,"60","RL","PosN","2Story",54,54,114.985163204748
130,"1Fam","BrkFace",85,"TA","Y",1053,1053,"Ex",750,"Y",0,80,"20","RL","Norm","1Story",62,29,142.450142450142
131,"1Fam","BrkFace",309,"TA","Y",1216,2157,"Gd",487,"Y",105,66,"60","RL","Norm","2Story",54,54,104.77515067223
132,"1Fam","BrkFace",40,"Gd","Y",1022,2054,"Gd",390,"Y",24,48,"60","RL","Norm","2Story",20,20,118.792599805258
133,"1Fam","None",0,"TA","Y",1327,1327,"Gd",624,"Y",0,0,"20","RL","Norm","1Story",61,18,113.602110022607
134,"1Fam","BrkFace",136,"Gd","Y",1296,1296,"Gd",471,"Y",192,25,"20","RL","Norm","1Story",19,18,169.753086419753
135,"1Fam","None",0,"TA","Y",1721,1721,"TA",440,"Y",0,96,"20","RL","Norm","1Story",52,27,104.59035444509
136,"1Fam","BrkFace",288,"TA","Y",1682,1682,"TA",530,"Y",98,0,"20","RL","Norm","1Story",50,50,103.448275862069
137,"1Fam","BrkFace",196,"TA","Y",1214,1214,"TA",318,"Y",0,111,"20","RL","Norm","1Story",53,53,117.792421746293
138,"Duplex","BrkFace",70,"TA","Y",1959,1959,"TA",766,"Y",0,0,"90","RL","Norm","1Story",32,31,87.2894333843798
139,"1Fam","BrkFace",320,"Gd","Y",1004,1852,"Gd",660,"Y",224,106,"60","RL","Norm","2Story",21,20,124.190064794816
140,"1Fam","None",0,"TA","Y",928,1764,"Gd",470,"Y",276,99,"60","RL","Norm","2Story",23,23,131.235827664399
141,"1Fam","None",0,"TA","Y",864,864,"TA",0,"Y",0,0,"20","RL","Norm","1Story",49,49,133.101851851852
142,"1Fam","None",0,"Gd","Y",1734,1734,"Gd",660,"Y",160,24,"20","RL","Norm","1Story",15,15,149.942329873126
143,"1Fam","None",0,"TA","Y",910,1385,"TA",720,"Y",0,0,"50","RL","Artery","1.5Fin",68,68,119.85559566787
144,"1Fam","BrkFace",183,"Gd","Y",1501,1501,"Gd",577,"Y",144,29,"20","RL","Norm","1Story",21,21,135.909393737508
145,"Duplex","BrkFace",336,"TA","Y",1728,1728,"TA",504,"Y",0,0,"90","RM","RRAe","1Story",57,57,72.337962962963
146,"Twnhs","Stone",50,"Gd","Y",970,1709,"Gd",380,"Y",0,40,"160","RM","Norm","2Story",16,14,76.0678759508484
147,"1Fam","None",0,"TA","Y",875,875,"TA",180,"Y",48,0,"30","RM","Norm","1Story",89,27,120
148,"1Fam","BrkFace",180,"Gd","Y",884,2035,"Gd",434,"Y",144,48,"60","RL","Norm","2Story",19,19,109.336609336609
149,"1Fam","BrkFace",120,"TA","Y",1080,1080,"Gd",0,"Y",0,0,"20","RL","Norm","1Story",16,15,130.555555555556
150,"1Fam","None",0,"TA","Y",896,1344,"TA",240,"Y",200,114,"50","RM","Norm","1.5Fin",84,70,85.5654761904762
151,"1Fam","None",0,"TA","Y",969,969,"TA",440,"Y",0,0,"20","RL","Norm","1Story",45,45,125.902992776058
152,"1Fam","Stone",436,"Gd","Y",1710,1710,"Gd",866,"Y",0,102,"20","RL","Norm","1Story",13,12,197.01709064438
153,"1Fam","BrkFace",252,"TA","Y",1097,1993,"TA",495,"Y",0,66,"60","RL","Norm","2Story",49,49,95.333667837431
154,"1Fam","None",0,"TA","Y",1252,1252,"TA",564,"Y",409,0,"20","RL","Norm","1Story",60,45,187.699680511182
155,"1Fam","None",0,"TA","Y",1200,1200,"TA",312,"Y",0,0,"30","RM","Norm","1Story",97,70,104.166666666667
156,"1Fam","None",0,"TA","N",572,1096,"TA",0,"N",0,8,"50","RL","Artery","1.5Fin",96,70,72.0802919708029
157,"1Fam","None",0,"TA","Y",1040,1040,"TA",625,"Y",0,0,"20","RL","Norm","1Story",70,70,105.288461538462
158,"1Fam","BrkFace",84,"Gd","Y",774,1968,"Ex",680,"Y",0,75,"60","RL","Norm","2Story",11,10,136.941056910569
159,"1Fam","None",0,"Gd","Y",991,1947,"Gd",678,"Y",0,136,"60","FV","Norm","2Story",16,15,130.919363122753
160,"1Fam","BrkFace",456,"Gd","Y",1392,2462,"Gd",576,"Y",239,132,"60","RL","Norm","2Story",15,14,129.975629569456
161,"1Fam","None",0,"TA","Y",1232,1232,"TA",516,"Y",0,0,"20","RL","Norm","1Story",36,36,131.899350649351
162,"1Fam","BrkFace",664,"Gd","Y",1572,2668,"Ex",726,"Y",400,0,"60","RL","Norm","2Story",17,16,154.610194902549
163,"1Fam","BrkFace",226,"Gd","Y",1541,1541,"Gd",532,"Y",0,70,"20","RL","Norm","1Story",15,15,142.764438676184
164,"1Fam","None",0,"TA","Y",882,882,"TA",0,"Y",0,0,"OTHERS","RL","Norm","1.5Unf",64,64,117.006802721088
165,"1Fam","None",0,"TA","Y",1149,1616,"Gd",216,"Y",0,0,"OTHERS","RM","Norm","1Story",94,16,94.0594059405941
166,"2fmCon","None",0,"TA","Y",808,1355,"TA",0,"Y",140,0,"190","RL","Norm","1.5Fin",80,21,94.0959409594096
167,"1Fam","None",0,"Gd","Y",1867,1867,"TA",303,"Y",476,0,"20","RL","Norm","1Story",65,27,101.767541510445
168,"1Fam","Stone",300,"Gd","Y",1610,2161,"Ex",789,"Y",178,120,"60","RL","Norm","2Story",13,13,150.682091624248
169,"1Fam","None",0,"Gd","Y",840,1720,"Gd",440,"Y",100,48,"60","RL","Norm","2Story",16,16,106.686046511628
170,"1Fam","BrkFace",653,"Gd","Y",1707,1707,"TA",511,"Y",574,64,"20","RL","Norm","1Story",39,39,133.567662565905
171,"1Fam","None",0,"TA","Y",854,1382,"TA",660,"Y",237,0,"50","RM","Feedr","1.5Fin",79,70,92.9811866859624
172,"1Fam","Stone",112,"TA","Y",1656,1656,"TA",528,"P",210,62,"20","RL","Norm","1Story",60,60,129.830917874396
173,"TwnhsE","None",0,"Gd","Y",1064,1767,"Gd",504,"Y",441,35,"160","RL","Norm","2Story",33,33,135.257498585173
174,"1Fam","BrkCmn",491,"TA","Y",1362,1362,"TA",504,"Y",0,20,"20","RL","Norm","1Story",59,59,119.676945668135
175,"1Fam","Stone",132,"TA","Y",1651,1651,"TA",616,"Y",192,0,"20","RL","Norm","1Story",34,34,111.4476075106
176,"1Fam","None",0,"TA","Y",2158,2158,"Gd",576,"Y",0,29,"20","RL","Norm","1Story",70,19,112.604263206673
177,"1Fam","BrkFace",268,"Gd","Y",1164,2060,"TA",521,"Y",0,228,"60","RL","Norm","2Story",32,31,102.427184466019
178,"1Fam","None",0,"Gd","Y",1252,1920,"Gd",451,"Y",0,0,"50","RL","Norm","1.5Fin",62,62,89.84375
179,"1Fam","Stone",748,"Ex","Y",2234,2234,"Ex",1166,"Y",0,60,"20","RL","Norm","1Story",12,11,197.01709064438
180,"1Fam","None",0,"Gd","Y",968,968,"TA",480,"N",0,0,"30","RM","Norm","1Story",97,14,103.305785123967
181,"Twnhs","BrkFace",456,"Gd","Y",769,1525,"Gd",440,"Y",0,0,"160","FV","Norm","2Story",20,20,116.065573770492
182,"1Fam","None",0,"TA","Y",901,1802,"TA",216,"Y",0,0,"70","RL","Norm","2Story",100,70,111.043285238624
183,"1Fam","BrkFace",98,"TA","Y",1340,1340,"TA",252,"Y",116,0,"20","RL","Artery","1Story",63,14,89.5522388059701
184,"1Fam","None",0,"TA","Y",1362,2082,"Gd",484,"N",280,238,"50","RM","Norm","1.5Fin",17,17,96.0614793467819
185,"1Fam","None",0,"TA","Y",936,1252,"TA",576,"Y",104,0,"50","RL","RRAn","1.5Fin",112,29,101.437699680511
186,"1Fam","None",0,"Gd","Y",1518,3608,"Ex",840,"Y",0,260,"OTHERS","RM","Artery","2.5Fin",128,27,131.651884700665
187,"1Fam","None",0,"TA","Y",1217,1217,"Gd",497,"Y",168,27,"80","RL","Norm","SLvl",30,29,142.15283483977
188,"1Fam","None",0,"TA","Y",808,1656,"TA",180,"N",0,0,"50","RL","Norm","1.5Fin",104,33,81.5217391304348
189,"Duplex","Stone",275,"TA","Y",1224,1224,"TA",528,"Y",120,0,"90","RL","Feedr","SFoyer",41,41,125.275326797386
190,"TwnhsE","None",0,"Gd","Y",1593,1593,"Ex",682,"Y",0,120,"120","RL","Norm","1Story",19,18,179.535467671061
191,"1Fam","None",0,"Gd","Y",1549,2727,"Gd",440,"Y",0,74,"70","RL","Norm","2Story",88,26,115.511551155116
192,"1Fam","BrkFace",138,"TA","Y",725,1479,"Gd",484,"Y",0,32,"60","RL","Norm","2Story",48,16,124.408384043272
193,"1Fam","None",0,"Gd","Y",1431,1431,"Gd",666,"Y",0,35,"20","RL","Norm","1Story",21,21,134.171907756813
194,"Twnhs","Stone",50,"Gd","Y",970,1709,"Gd",380,"Y",0,40,"160","RM","Norm","2Story",16,16,76.0678759508484
195,"1Fam","None",0,"TA","Y",864,864,"TA",352,"Y",0,0,"20","RL","Norm","1Story",48,48,146.990740740741
196,"Twnhs","None",0,"TA","Y",855,1456,"TA",440,"Y",87,0,"160","RL","Norm","2Story",44,44,101.991758241758
197,"1Fam","Stone",205,"Ex","Y",1726,1726,"Ex",786,"Y",171,138,"20","RL","Norm","1Story",13,13,180.690614136732
198,"1Fam","None",0,"Gd","Y",1360,3112,"Gd",795,"Y",0,16,"OTHERS","RL","Artery","2Story",102,30,75.5141388174807
199,"1Fam","None",0,"TA","Y",929,2229,"TA",0,"Y",0,198,"OTHERS","RM","Norm","2.5Fin",108,70,46.6576940331987
200,"1Fam","BrkFace",262,"Gd","Y",1713,1713,"Ex",856,"Y",0,26,"20","RL","Norm","1Story",16,15,160.478692352598
201,"1Fam","None",0,"TA","Y",1121,1121,"TA",440,"Y",132,64,"20","RM","Norm","1Story",17,16,124.888492417484
202,"1Fam","None",0,"TA","Y",1279,1279,"TA",473,"Y",238,83,"20","RL","Norm","1Story",43,43,134.08913213448
203,"1Fam","None",0,"TA","Y",865,1310,"TA",398,"Y",0,0,"50","RL","Artery","1.5Fin",96,70,85.4961832061069
204,"TwnhsE","BrkFace",205,"Gd","Y",848,848,"Gd",420,"Y",149,0,"120","RM","Norm","1Story",16,16,175.707547169811
