"Id","BldgType","MasVnrType_clean","MasVnrArea_clean_scale","ExterQual","CentralAir","1stFlrSF_scale","GrLivArea_scale","KitchenQual_clean","GarageArea_clean_scale","PavedDrive","WoodDeckSF_scale","OpenPorchSF_scale","MSSubClass_agrup","MSZoning_agrup","Condition1","HouseStyle","antiguedad_scale","reforma_scale","averagePrice_surface"
12,"1Fam","Stone",1.01660092542778,"Ex","Y",0.050113559652465,1.53866124573997,"Ex",1.23018665632532,"Y",0.420903039038441,-0.387289653068744,"60","RL","Norm","2Story",-1.11685259580759,-1.02367789466132,148.450946643718
13,"1Fam","None",-0.567590011190771,"TA","Y",-0.648304867605859,-1.14840385610385,"TA",-0.565843767446589,"Y",0.365054408642677,-0.704241947620518,"20","RL","Norm","1Story",0.306851559907257,1.10754676028563,157.894736842105
14,"1Fam","Stone",1.1273835084081,"Gd","Y",0.857174853373195,-0.0408458608679422,"Gd",1.71661156276354,"Y",0.524621924059143,-0.206174056182015,"20","RL","Norm","1Story",-1.1499619947777,-1.07211481863739,187.081659973226
15,"1Fam","BrkFace",0.606705368400603,"TA","Y",0.233771738672246,-0.499473827967349,"TA",-0.565843767446589,"Y",-0.751918199272585,2.51055989711891,"20","RL","Norm","1Story",0.373070357847483,1.20442060823777,125.299281723863
16,"1Fam","None",-0.567590011190771,"TA","Y",-0.79833549272061,-1.25877905150537,"TA",0.481840646420356,"Y",-0.368956162273066,0.986170289988946,"OTHERS","RM","Norm","1.5Unf",1.39946172592098,-0.781493274780985,154.566744730679
17,"1Fam","BrkFace",0.429453235632094,"TA","Y",-0.410325255354874,-0.973325959949723,"TA",0.0328330404773799,"Y",-0.751918199272585,-0.704241947620518,"20","RL","Norm","1Story",0.0419763681463552,0.720051368477097,148.406374501992
18,"Duplex","None",-0.567590011190771,"TA","Y",0.345001340050424,-0.417643941721396,"TA",0.201210892705996,"Y",-0.751918199272585,-0.704241947620518,"90","RL","Norm","1Story",0.141304565056693,0.865362140405298,69.4444444444444
19,"1Fam","None",-0.567590011190771,"TA","Y",-0.125784414620002,-0.763993692808915,"Gd",0.481840646420356,"Y",-0.751918199272585,0.835240625916672,"20","RL","RRAe","1Story",-1.08374319683748,-0.926804046709186,142.728904847397
20,"1Fam","None",-0.567590011190771,"TA","Y",0.456230941428601,-0.335814055475444,"TA",-0.837119196037137,"Y",-0.751918199272585,-0.704241947620518,"20","RL","Norm","1Story",0.439289155787708,0.962235988357433,103.808812546677
21,"1Fam","BrkFace",1.53727906543528,"Gd","Y",-0.0119680783260526,1.63761831747926,"Gd",1.77741467606832,"Y",1.16289198572501,1.62007487909249,"60","RL","Norm","2Story",-1.11685259580759,-1.02367789466132,136.910774410774
22,"1Fam","None",-0.567590011190771,"TA","Y",-0.141304824114631,-0.775411816471141,"Gd",-0.902599471903821,"N",-0.751918199272585,-0.704241947620518,"OTHERS","RM","Norm","1.5Unf",1.36635232695087,1.68878984799844,125.812274368231
23,"1Fam","BrkFace",0.988905279682701,"Gd","Y",1.63578206302044,0.531963342853723,"Gd",0.285399818820304,"Y",0.6123840575382,1.69553971112863,"20","RL","Norm","1Story",-1.01752439889725,-0.829930198757052,128.133704735376
24,"TwnhsE","None",-0.567590011190771,"TA","Y",-0.265468100071666,-0.866756805768948,"TA",0.463131996172732,"Y",0.0459193778097454,0.955984357174491,"120","RM","Norm","1Story",-0.156680025674321,0.429429824620694,122.547169811321
25,"1Fam","None",-0.567590011190771,"TA","Y",-0.265468100071666,-0.866756805768948,"Gd",-0.949371097522881,"Y",2.48730236368168,0.654125029029944,"20","RL","Norm","1Story",0.108195166086581,-0.781493274780985,145.283018867925
26,"1Fam","Stone",2.97745264417941,"Gd","Y",1.13136875444498,0.160874323831382,"Gd",1.95046969085884,"Y",-0.751918199272585,0.140964171184214,"20","RL","Norm","1Story",-1.18307139374782,-1.07211481863739,160.1875
27,"1Fam","None",-0.567590011190771,"TA","Y",-0.679345686595118,-1.1712401034283,"Gd",0.481840646420356,"Y",1.01928122185019,-0.221267022589243,"20","RL","Norm","1Story",0.671054948578497,-0.733056350804918,149.777777777778
28,"1Fam","Stone",0.540235818612412,"Gd","Y",1.40038918568522,0.358788467309964,"Gd",1.39856450855393,"Y",-0.751918199272585,0.0504063727408497,"20","RL","Norm","1Story",-1.18307139374782,-1.12055174261345,179.577464788732
29,"1Fam","None",-0.567590011190771,"TA","Y",1.13136875444498,0.160874323831382,"TA",-0.720190131989487,"Y",1.54585402272453,3.18974338544414,"20","RL","Norm","1Story",0.472398554757821,-0.587745578876716,129.6875
30,"1Fam","None",-0.567590011190771,"TA","N",-1.66230495458831,-1.89438793536928,"Fa",-1.08968597438006,"Y",-0.360977786502243,-0.704241947620518,"30","RM","Feedr","1Story",1.4656805238612,1.68878984799844,131.730769230769
31,"1Fam","None",-0.567590011190771,"TA","N",-1.32861615045378,-0.377680508903606,"TA",-1.042914348761,"N",-0.751918199272585,0.110778238369759,"70","OTHER","Feedr","2Story",1.69744631665199,1.68878984799844,41.5049579372798
32,"1Fam","None",-0.567590011190771,"TA","Y",0.169103365777957,-0.547049343226623,"Gd",-0.944693934960975,"Y",-0.751918199272585,0.27680086884926,"20","RL","Norm","1Story",0.174413964026806,-1.02367789466132,121.620521172638
33,"1Fam","None",-0.567590011190771,"Gd","Y",0.184623775272587,-0.535631219564397,"Gd",0.0515416907250039,"Y",-0.751918199272585,-0.251452955403697,"20","RL","Norm","1Story",-1.18307139374782,-1.07211481863739,145.786061588331
34,"1Fam","None",-0.567590011190771,"TA","Y",1.39004224602214,0.35117638486848,"Gd",-0.121513324065518,"Y",-0.751918199272585,-0.130709224145879,"20","RL","Norm","1Story",0.406179756817595,1.25285753221384,97.3529411764706
35,"TwnhsE","BrkFace",0.795035759467144,"Ex","Y",1.03048609272989,0.0866565200269135,"Ex",0.388297395182236,"Y",0.867692082204545,0.00512747351916768,"120","RL","Norm","1Story",-1.11685259580759,-0.975240970685253,177.77065983344
36,"1Fam","Stone",0.16357503647933,"Gd","Y",-0.0792231861361135,1.78224788386746,"Gd",1.01971434103955,"Y",0.149638262830448,-0.221267022589243,"60","RL","Norm","2Story",-1.08374319683748,-0.975240970685253,126.019575856444
37,"1Fam","None",-0.567590011190771,"TA","Y",-0.169758908188118,-0.796345043185222,"TA",0.930848252363333,"Y",2.37560510289015,0.261707902442033,"20","RL","Norm","1Story",-0.752649207136351,-0.490871730924582,132.178669097539
38,"1Fam","BrkFace",3.03284393566957,"TA","Y",0.347588074966196,-0.415740921111026,"TA",0.117021966591688,"Y",-0.751918199272585,-0.704241947620518,"20","RL","Norm","1Story",0.571726751668159,-0.248687111044246,117.964533538936
39,"1Fam","None",-0.567590011190771,"TA","Y",-0.273228304818981,-0.872465867600061,"Gd",-1.06162299900863,"Y",-0.751918199272585,0.0805923055553045,"20","RL","Norm","1Story",0.604836150638272,-1.07211481863739,103.122043519395
40,"Duplex","None",-0.567590011190771,"TA","N",-0.0274884878206821,-0.691678909614818,"Fa",-2.2122049892375,"N",-0.751918199272585,-0.704241947620518,"90","RL","Norm","1Story",0.538617352698046,1.4466052281181,71.1805555555556
41,"1Fam","BrkFace",-0.00813796714016376,"TA","Y",0.417429917692028,-0.364359364631009,"TA",-0.15425346199886,"Y",-0.751918199272585,1.37858741657686,"20","RL","Norm","1Story",0.207523362996919,0.962235988357433,120.845921450151
42,"1Fam","None",-0.567590011190771,"TA","Y",0.427776857355114,-0.356747282189525,"TA",-0.771638920170453,"P",-0.751918199272585,0.865426558731127,"20","RL","Norm","1Story",0.406179756817595,1.25285753221384,128.012048192771
43,"1Fam","None",-0.567590011190771,"TA","Y",-0.720733445247463,-1.20168843319424,"Gd",0.145084941963124,"Y",1.16289198572501,-0.704241947620518,"OTHERS","RL","Norm","SFoyer",-0.388445818465111,0.0903713567882239,162.89592760181
44,"1Fam","None",-0.567590011190771,"TA","Y",-0.581049759795798,-1.09892532023421,"TA",-0.771638920170453,"Y",0.404946287496794,-0.704241947620518,"20","RL","Norm","1Story",-0.123570626704209,0.235682128716425,138.859275053305
45,"1Fam","None",-0.567590011190771,"TA","Y",-0.0326619576522252,-0.69548495083556,"TA",-0.809056220665701,"Y",-0.751918199272585,-0.704241947620518,"20","RL","Norm","1Story",0.406179756817595,1.25285753221384,122.608695652174
46,"TwnhsE","BrkFace",1.71453119820379,"Ex","Y",1.52455246164226,0.450133456607771,"Ex",0.481840646420356,"Y",0.811843451808782,0.533381297772125,"120","RL","Norm","1Story",-1.11685259580759,-0.975240970685253,182.591324200913
47,"1Fam","None",-0.567590011190771,"Gd","Y",0.919256491351712,1.20563263892505,"Gd",0.921493927239521,"Y",0.58844893022573,-0.0552443921097417,"50","RL","Norm","1.5Fin",-1.05063379786737,-0.878367122733119,111.533736621685
48,"1Fam","None",-0.567590011190771,"Gd","Y",1.27622590972819,0.267443478012157,"Gd",1.65113128689686,"Y",-0.751918199272585,1.49933114783468,"20","FV","Norm","1Story",-1.1499619947777,-1.02367789466132,150.785024154589
49,"2fmCon","None",-0.567590011190771,"TA","Y",-1.10357021278166,-0.120772726503523,"TA",-2.2122049892375,"N",-0.751918199272585,-0.704241947620518,"190","RM","Norm","2Story",1.69744631665199,-1.12055174261345,77.8236914600551
50,"1Fam","None",-0.567590011190771,"TA","Y",-0.537075266227681,-1.0665739698579,"TA",-0.406820240341785,"Y",-0.751918199272585,-0.704241947620518,"20","RL","Norm","1Story",0.174413964026806,0.913799064381365,132.984293193717
51,"1Fam","None",-0.567590011190771,"TA","Y",-0.953539587666904,-0.0865183555168458,"TA",-0.397465915217973,"Y",-0.751918199272585,0.427730532921534,"60","RL","Norm","2Story",-0.851977404046689,-0.587745578876716,120.408163265306
52,"1Fam","None",-0.567590011190771,"TA","Y",-0.896631419519929,-0.646006414965914,"TA",0.257336843448868,"Y",0.141659887059625,-0.704241947620518,"50","RM","Norm","1.5Fin",1.23391473107041,1.68878984799844,97.3639455782313
53,"Duplex","None",-0.567590011190771,"Fa","N",-0.896631419519929,-1.33109383469947,"TA",0.201210892705996,"Y",0.0937896324346852,-0.704241947620518,"90","RM","RRNn","1Story",0.273742160937144,1.05910983630957,134.803921568627
54,"1Fam","None",-0.567590011190771,"Gd","Y",1.7573586040617,0.621405311541159,"Gd",1.96917834110647,"Y",6.08554983632298,0.382451633699852,"20","RL","Norm","1Story",-0.322227020524885,-0.103376339116045,197.01709064438
55,"1Fam","None",-0.567590011190771,"TA","Y",0.510552374659804,-0.295850622657654,"TA",0.463131996172732,"Y",-0.751918199272585,0.0504063727408497,"80","RL","Norm","SLvl",0.538617352698046,1.4466052281181,95.5882352941177
56,"1Fam","BrkFace",0.939053117341558,"TA","Y",0.678690144184956,-0.17215428298354,"TA",0.481840646420356,"Y",-0.751918199272585,-0.704241947620518,"20","RL","Norm","1Story",0.240632761967032,1.0106729123335,126.666666666667
57,"Twnhs","BrkFace",1.95825288076049,"Gd","Y",-0.464646688586077,0.425394188672948,"Gd",0.0328330404773799,"Y",0.165595014372095,-0.704241947620518,"160","FV","Norm","2Story",-0.918196201986915,-0.733056350804918,99.1949396204715
58,"1Fam","None",-0.567590011190771,"Gd","Y",-0.78281508322598,0.389236797075899,"Gd",0.43039185823939,"Y",-0.751918199272585,0.352265700885397,"60","RL","Norm","2Story",-1.08374319683748,-0.926804046709186,114.244186046512
59,"1Fam","BrkFace",5.14325214144464,"Ex","Y",0.681276879100728,2.72043704478035,"Gd",0.785856212944247,"Y",0.779929948725489,-0.704241947620518,"60","RL","Norm","2Story",-1.1499619947777,-1.02367789466132,148.991511035654
60,"1Fam","None",-0.567590011190771,"TA","Y",-0.989753876487706,-1.39960257667282,"TA",-0.565843767446589,"Y",0.811843451808782,-0.704241947620518,"20","RL","Norm","1Story",-0.0242424297938703,0.623177520524963,160.128205128205
61,"1Fam","None",-0.567590011190771,"TA","Y",-0.0119680783260526,-0.680260785952592,"Gd",0.481840646420356,"Y",-0.751918199272585,0.0504063727408497,"20","RL","RRAe","1Story",-1.08374319683748,-0.926804046709186,136.442141623489
62,"1Fam","None",-0.567590011190771,"TA","N",-1.50451412472625,-0.769702754640028,"Fa",-0.865182171408573,"N",-0.751918199272585,-0.704241947620518,"OTHERS","RM","Norm","2.5Unf",1.69744631665199,-0.539308654900649,90.9090909090909
63,"TwnhsE","Stone",0.418374977334062,"Gd","Y",0.53641972381752,-0.276820416553944,"Gd",0.0515416907250039,"Y",0.205486893226211,0.0353134063336224,"120","RL","Norm","1Story",-1.1499619947777,-1.02367789466132,147.810218978102
64,"1Fam","None",-0.567590011190771,"TA","Y",-0.674172216763574,0.37020659097219,"TA",0.0328330404773799,"Y",-0.656177690022705,-0.538219317141017,"70","RM","RRAn","2Story",1.66433691768188,1.68878984799844,81.8713450292398
65,"1Fam","BrkFace",2.60633099119535,"TA","Y",-0.273228304818981,0.986785268732388,"Gd",0.804564863191871,"Y",3.84362624472164,-0.160895156960333,"60","RL","Norm","2Story",-0.851977404046689,-0.636182502852783,107.915437561455
66,"1Fam","BrkFace",1.3378704160707,"Gd","Y",-0.0507691020626262,1.82221131668525,"Gd",1.77273751350641,"Y",0.779929948725489,1.57479597987081,"60","RL","Norm","2Story",-1.08374319683748,-0.975240970685253,128.184391427416
67,"1Fam","BrkFace",1.0221400545768,"TA","Y",2.70151684831832,1.31600783432657,"TA",0.481840646420356,"Y",1.64957290774523,-0.704241947620518,"20","RL","PosA","1Story",0.0419763681463552,-0.200250187068179,81.5586769370186
68,"1Fam","BrkFace",0.357444556694887,"Gd","Y",0.818373829636621,-0.0693911700235069,"Gd",0.397651720306048,"Y",0.396967911725971,-0.266545921810925,"20","RL","Norm","1Story",-1.05063379786737,-0.878367122733119,152.805949966193
69,"1Fam","None",-0.567590011190771,"TA","Y",-1.07511612870817,-1.46240225681506,"TA",-1.18322922561818,"Y",-0.751918199272585,-0.704241947620518,"30","RM","Artery","1Story",0.869711342399174,1.68878984799844,107.095046854083
70,"1Fam","None",-0.567590011190771,"Gd","Y",0.365695219376597,1.46824948315625,"TA",0.907462439553803,"Y",-0.751918199272585,-0.387289653068744,"50","RL","Norm","1.5Fin",0.604836150638272,1.54347907607024,98.3821600349803
71,"1Fam","BrkFace",5.60853898996197,"TA","Y",2.74290460697067,1.3464561640925,"TA",0.201210892705996,"Y",1.64159453197441,-0.704241947620518,"20","RL","Norm","1Story",-0.0573518287639831,0.574740596548895,109.761583445794
72,"1Fam","None",-0.567590011190771,"TA","Y",-0.821616106962554,-1.27590623699871,"TA",-0.528426466951341,"Y",-0.751918199272585,-0.704241947620518,"20","RL","Norm","1Story",-0.355336419494998,-1.02367789466132,153.254437869822
73,"1Fam","BrkFace",-0.346024845230135,"TA","Y",-0.718146710331691,0.385430755855158,"TA",-0.215056575303638,"Y",-0.751918199272585,0.714496894658853,"60","RL","Norm","2Story",-0.885086803016802,-0.636182502852783,107.683352735739
74,"1Fam","BrkFace",0.00847942030688399,"TA","Y",-0.198212992261606,-0.817278269899303,"TA",0.0796046660964399,"Y",-0.751918199272585,-0.704241947620518,"20","RL","Norm","1Story",0.571726751668159,-0.878367122733119,133.425414364641
75,"1Fam","None",-0.567590011190771,"Gd","N",-0.834549781541412,0.170389426883237,"TA",-0.439560378275127,"Y",-0.751918199272585,-0.704241947620518,"50","RM","Norm","2Story",1.86299331150256,1.68878984799844,66.9158878504673
76,"Twnhs","None",-0.567590011190771,"TA","Y",-1.64678454509368,-1.00377428971566,"TA",-0.823087708351419,"Y",0.205486893226211,0.820147659509445,"OTHERS","RM","Norm","SLvl",-0.0573518287639831,0.574740596548895,92.1052631578947
77,"1Fam","None",-0.567590011190771,"TA","Y",-0.544835470974996,-1.07228303168901,"TA",-0.888567984218103,"Y",-0.751918199272585,-0.704241947620518,"20","RL","Norm","1Story",0.505507953727934,1.39816830414204,142.594537815126
78,"1Fam","None",-0.567590011190771,"TA","Y",-0.234427281082408,-0.438577168435477,"TA",-1.08968597438006,"Y",-0.751918199272585,-0.704241947620518,"50","RM","Norm","1.5Fin",0.770383145488836,-0.781493274780985,98.8326848249027
79,"Duplex","None",-0.567590011190771,"TA","N",1.5659402202946,0.480581786373707,"TA",-2.2122049892375,"Y",-0.751918199272585,-0.704241947620518,"90","RL","Norm","1Story",0.108195166086581,0.816925216429231,77.2058823529412
80,"1Fam","None",-0.567590011190771,"TA","Y",-1.24325389823332,-0.543243302005881,"TA",-0.15425346199886,"Y",-0.16151839223166,-0.704241947620518,"50","RM","Norm","2Story",2.02854030635312,0.187245204740358,89.4308943089431
81,"1Fam","BrkFace",2.6229483786424,"TA","Y",0.050113559652465,1.19231149465245,"Gd",0.168470754772654,"Y",-0.751918199272585,0.382451633699852,"60","RL","Norm","2Story",0.108195166086581,0.816925216429231,90.3361344537815
82,"TwnhsE","BrkFace",1.88624420182328,"TA","Y",0.451057471597058,-0.339620096696186,"TA",-0.317954151665571,"Y",-0.751918199272585,2.29925836741773,"120","RM","Norm","1Story",-0.885086803016802,-0.636182502852783,114.809274495138
83,"1Fam","Stone",2.02472243054868,"TA","Y",1.03565956256143,0.0904625612476555,"Gd",1.33308423268725,"Y",0.396967911725971,0.78996172669499,"20","RL","Norm","1Story",-1.18307139374782,-1.07211481863739,156.749840051184
84,"1Fam","BrkCmn",-0.202007487355721,"TA","Y",-0.252534425492809,-0.857241702717093,"TA",-0.0560330481988342,"Y",-0.16151839223166,-0.704241947620518,"20","RL","Norm","1Story",0.373070357847483,1.20442060823777,118.779342723005
85,"1Fam","BrkFace",-0.445729169912421,"TA","Y",-0.927672238509188,-0.0789062730753618,"TA",-0.341339964475101,"Y",0.205486893226211,0.382451633699852,"80","RL","Norm","SLvl",-0.785758606106464,-0.539308654900649,114.314789687924
86,"1Fam","BrkFace",1.00552266712975,"Gd","Y",0.357935014629282,1.71564216250447,"Gd",-0.0513558856369282,"Y",0.261335523621974,0.533381297772125,"60","RL","Norm","2Story",-0.653321010226013,-0.34556095899638,107.571369466281
87,"1Fam","None",-0.567590011190771,"Gd","Y",-1.23808042840178,0.0847534994165425,"Gd",-0.341339964475101,"Y",0.0459193778097454,-0.130709224145879,"60","RL","Norm","2Story",-1.11685259580759,-0.975240970685253,111.538461538462
88,"TwnhsE","Stone",-0.146616195865562,"Gd","Y",-1.42432534233733,-0.554661425668107,"Gd",0.257336843448868,"Y",-0.751918199272585,2.82751219167068,"160","FV","Norm","2Story",-1.24929019168804,-1.16898866658952,134.395424836601
89,"1Fam","None",-0.567590011190771,"Fa","N",-0.38704464111293,0.0200507986639292,"Fa",-2.2122049892375,"N",-0.751918199272585,-0.704241947620518,"50","OTHER","Feedr","1.5Fin",1.86299331150256,0.138808280764291,55.7011795543906
90,"1Fam","None",-0.567590011190771,"TA","Y",-0.446539544175676,-0.999968248494917,"TA",-2.2122049892375,"Y",-0.751918199272585,-0.704241947620518,"20","RL","Norm","1Story",-0.752649207136351,-0.490871730924582,124.848484848485
91,"1Fam","None",-0.567590011190771,"TA","Y",-0.317202798387098,-0.904817217976368,"TA",-0.24779671323698,"Y",-0.751918199272585,-0.266545921810925,"20","RL","Norm","1Story",0.70416434754861,1.68878984799844,105.673076923077
92,"1Fam","BrkCmn",0.55685320605946,"TA","Y",0.187210510188358,-0.533728198954026,"TA",0.0328330404773799,"Y",-0.751918199272585,-0.704241947620518,"20","RL","Norm","1Story",0.33996095887737,1.1559836842617,79.8380566801619
93,"1Fam","None",-0.567590011190771,"TA","Y",-0.513794651985737,-1.04944678436456,"TA",-0.191670762494108,"Y",-0.751918199272585,-0.704241947620518,"30","RL","Norm","1Story",1.66433691768188,-1.02367789466132,169.605809128631
94,"2fmCon","None",-0.567590011190771,"TA","N",0.251878883082647,1.47586156559773,"TA",0.154439267086936,"Y",-0.751918199272585,-0.704241947620518,"190","OTHER","Norm","2.5Unf",2.02854030635312,-0.636182502852783,58.4460934089917
95,"1Fam","None",-0.567590011190771,"TA","Y",-0.66641201201626,0.514836157360384,"Gd",0.986974203106205,"Y",-0.751918199272585,1.74081861035031,"60","RL","Norm","2Story",-0.851977404046689,-0.587745578876716,114.641657334826
96,"1Fam","BrkFace",-0.190929229057689,"Ex","Y",-1.24842736806486,-0.0865183555168458,"TA",-0.24779671323698,"Y",1.09906497955842,0.246614936034805,"60","RL","Norm","2Story",-0.719539808166238,-0.393997882972448,125.850340136054
97,"1Fam","BrkFace",0.446070623079141,"Gd","Y",1.10032793545572,0.13803807650693,"Gd",-0.00458426001786817,"Y",0.508665172517497,-0.266545921810925,"20","RL","Norm","1Story",-0.918196201986915,-0.68461942682885,134.760705289673
98,"1Fam","BrkFace",-0.301711812038007,"TA","Y",-0.524141591648823,-1.05705886680605,"TA",-0.191670762494108,"P",0.205486893226211,-0.704241947620518,"20","RL","Norm","1Story",0.207523362996919,0.962235988357433,98.6979166666667
99,"1Fam","None",-0.567590011190771,"TA","N",-0.84748345612027,-1.29493644310242,"TA",-0.500363491579905,"Y",-0.751918199272585,-0.704241947620518,"30","RL","Norm","1Story",1.69744631665199,1.68878984799844,99.4011976047904
100,"1Fam","None",-0.567590011190771,"TA","Y",0.161343161030643,-0.552758405057736,"TA",-2.2122049892375,"Y",2.05647007205722,-0.704241947620518,"20","RL","Norm","1Story",0.406179756817595,1.25285753221384,105.265306122449
101,"1Fam","BrkFace",-0.412494395018326,"TA","Y",1.1572361036027,0.179904529935092,"Gd",0.0328330404773799,"Y",0.58844893022573,0.322079768070942,"20","RL","Norm","1Story",-0.189789424644434,-0.781493274780985,127.329192546584
102,"1Fam","BrkFace",1.29355738287858,"Gd","Y",-0.480167098080707,0.412073044400351,"Gd",0.0141243902297559,"Y",0.779929948725489,-0.00996549288805968,"60","RL","Norm","2Story",-0.454664616405336,-0.00650249116391041,102.771362586605
103,"Duplex","None",-0.567590011190771,"TA","Y",0.963230984919829,0.037177984157268,"TA",-0.294568338856041,"Y",-0.751918199272585,-0.704241947620518,"90","RL","Norm","1Story",-0.25600822258466,0.284119052692492,77.5009771986971
104,"1Fam","None",-0.567590011190771,"TA","Y",0.163929895946414,-0.550855384447365,"Gd",1.24889530657294,"Y",-0.751918199272585,-0.160895156960333,"20","RL","Norm","1Story",-1.24929019168804,-1.16898866658952,162.234910277325
105,"1Fam","BrkFace",2.75588747821878,"TA","Y",0.163929895946414,0.575732816892256,"TA",-1.08968597438006,"Y",-0.751918199272585,-0.704241947620518,"50","RM","Norm","1.5Fin",1.33324292798075,1.68878984799844,93.2343234323432
106,"1Fam","BrkFace",3.68646117525345,"Gd","Y",-0.283575244482067,0.906858403096806,"Gd",0.818596350877589,"Y",0.365054408642677,-0.025058459295287,"60","FV","Norm","2Story",-1.05063379786737,-0.926804046709186,125.502008032129
107,"1Fam","None",-0.567590011190771,"TA","Y",-0.299095653976697,-0.891496073703771,"TA",-0.935339609837163,"N",-0.751918199272585,-0.704241947620518,"30","RM","Norm","1Story",2.85627528060594,-0.490871730924582,95.5109837631328
108,"1Fam","None",-0.567590011190771,"TA","Y",-0.966473262245762,-1.38247539117948,"TA",-1.042914348761,"Y",-0.751918199272585,-0.704241947620518,"20","RM","Norm","1Story",0.770383145488836,1.68878984799844,145.75411913815
109,"1Fam","None",-0.567590011190771,"TA","N",-0.428432399765275,0.00292361317059035,"Fa",-2.2122049892375,"N",-0.751918199272585,-0.704241947620518,"50","RM","Artery","1.5Fin",1.73055571562211,-0.975240970685253,75.8075148319051
110,"1Fam","BrkFace",2.09119198033687,"TA","Y",1.76253207389324,0.625211352761901,"TA",0.341525769563176,"Y",-0.751918199272585,1.13709995406122,"20","RL","Norm","1Story",-0.189789424644434,0.380992900644627,103.036876355748
111,"1Fam","None",-0.567590011190771,"TA","Y",0.138062546788698,0.646144579475982,"TA",-0.692127156618051,"Y",0.700146191017256,-0.704241947620518,"50","RL","Norm","1.5Fin",0.571726751668159,0.623177520524963,73.800539083558
112,"1Fam","None",-0.567590011190771,"TA","Y",-1.00527428598234,-0.162639179931685,"TA",-0.341339964475101,"Y",0.684189439475609,-0.704241947620518,"80","RL","Norm","SLvl",-0.951305600957027,-0.733056350804918,125.874125874126
113,"1Fam","Stone",0.65101840159273,"Gd","Y",0.308787051229622,2.24658491279798,"Ex",1.49210775979205,"Y",0.205486893226211,2.07286387130932,"60","RL","Norm","2Story",-1.18307139374782,-1.07211481863739,142.422106824926
114,"1Fam","BrkFace",0.451609752228157,"TA","Y",2.83602706393845,1.41496490606586,"Gd",-0.1074818363798,"Y",0.572492178684083,1.10691402124676,"20","RL","Norm","1Story",0.604836150638272,1.54347907607024,96.0602036299247
115,"1Fam","None",-0.567590011190771,"TA","Y",0.707144228258444,1.53104916329849,"Gd",-1.37031572809442,"Y",1.03523797339183,-0.704241947620518,"70","RL","Norm","2Story",0.869711342399174,-0.829930198757052,111.853448275862
